Date	Tournament	Location	Purse( $ )	Winner	Score	1st Prize( $ )
Jan 20	MasterCard Championship at Hualalai	Hawaii	1,800,000	Fred Funk (3)	195 (-21)	300,000
Jan 27	Turtle Bay Championship	Hawaii	1,600,000	Jerry Pate (2)	211 (-5)	240,000
Feb 10	Allianz Championship	Florida	1,650,000	Scott Hoch (2)	202 (-14)	247,500
Feb 17	The ACE Group Classic	Florida	1,600,000	Scott Hoch (3)	202 (-14)	240,000
Mar 9	Toshiba Classic	California	1,700,000	Bernhard Langer (2)	199 (-14)	255,000
Mar 16	AT&T Champions Classic	California	1,600,000	Denis Watson (3)	209 (-7)	240,000
Mar 30	Ginn Championship Hammock Beach Resort	Florida	2,500,000	Bernhard Langer (3)	204 (-12)	375,000
Apr 6	Cap Cana Championship	Dominican Republic	2,000,000	Mark Wiebe (2)	202 (-14)	300,000
Apr 20	Outback Steakhouse Pro-Am	Florida	1,700,000	Tom Watson (11)	204 (-9)	255,000
Apr 27	Liberty Mutual Legends of Golf	Georgia	2,600,000	Andy North (1) & Tom Watson (12)	185 (-31)	225,000 (each)
May 4	FedEx Kinko's Classic	Texas	1,600,000	Denis Watson (4)	206 (-10)	240,000
May 18	Regions Charity Classic	Alabama	1,700,000	Andy Bean (2)	203 (-13)	255,000
May 25	Senior PGA Championship	New York	2,000,000	Jay Haas (11)	287 (7)	360,000
Jun 1	The Principal Charity Classic	Iowa	1,725,000	Jay Haas (12)	203 (-10)	258,750
Jun 22	Bank of America Championship	Massachusetts	1,650,000	Jeff Sluman (1)	199 (-17)	247,500
Jun 29	Commerce Bank Championship	New York	1,600,000	Loren Roberts (8)	201 (-12)	240,000
Jul 6	Dick's Sporting Goods Open	New York	1,600,000	Eduardo Romero (2)	199 (-17)	240,000
Jul 20	3M Championship	Minnesota	1,750,000	R.W. Eaks (3)	193 (-23)	262,500
Jul 27	Senior British Open Championship	Scotland	2,000,000	Bruce Vaughan (1)	278 (-6)	315,600
Aug 3	U.S. Senior Open	Colorado	2,600,000	Eduardo Romero (3)	274 (-6)	470,000
Aug 17	JELD-WEN Tradition	Oregon	2,600,000	Fred Funk (4)	269 (-19)	392,000
Aug 24	Boeing Classic	Washington	1,700,000	Tom Kite (10)	202 (-14)	255,000
Aug 31	Walmart First Tee Open at Pebble Beach	California	2,100,000	Jeff Sluman (2)	202 (-14)	315,000
Sep 14	Greater Hickory Classic at Rock Barn	North Carolina	1,700,000	R.W. Eaks (4)	200 (-16)	255,000
Sep 28	SAS Championship	North Carolina	2,100,000	Eduardo Romero (4)	201 (-15)	315,000
Oct 12	Constellation Energy Senior Players Championship	Maryland	2,600,000	D. A. Weibring (5)	271 (-9)	390,000
Oct 19	Administaff Small Business Classic	Texas	1,700,000	Bernhard Langer (4)	204 (-12)	255,000
Oct 26	AT&T Championship	Texas	1,650,000	John Cook (2)	197 (-16)	247,500
Nov 2	Charles Schwab Cup Championship	California	2,500,000	Andy Bean (3)	268 (-20)	442,000
