Club	Played	Won	Drawn	Lost	Points for	Points against	Points difference	Points
Club	Played	Won	Drawn	Lost	Points for	Points against	Points difference	Points
Neath RFC	32	27	0	5	1028	401	+627	81
Newport RFC	32	25	0	7	905	526	+379	72
Bridgend Ravens	32	23	0	9	736	475	+261	66
Llanelli RFC	32	20	0	12	784	587	+197	60
Aberavon RFC	32	19	0	13	782	760	+22	57
Cross Keys RFC	32	19	0	13	671	760	-89	57
Carmarthen Quins RFC	32	18	1	13	785	579	+206	55
Cardiff RFC	32	18	0	14	835	569	+266	54
Swansea RFC	32	17	2	13	840	731	+109	53
Pontypridd RFC	32	17	1	14	729	610	+119	52
Ebbw Vale RFC	32	14	0	18	644	819	-175	39
Pontypool RFC	32	12	1	19	635	786	-151	37
Bedwas RFC	32	12	0	20	565	747	-182	36
Llandovery RFC	32	12	0	20	597	873	-276	36
Caerphilly RFC	32	8	0	24	693	945	-252	24
Llanharan RFC	32	4	1	27	548	1054	-506	13
Newbridge RFC	32	4	0	28	539	1183	-644	6
