Week	Date	Opponent	Result	Record	Game Site	Attendance
1	September 28, 1958	Detroit Lions	W 28–15	1–0	Memorial Stadium	48,377
2	October 4, 1958	Chicago Bears	W 51–38	2–0	Memorial Stadium	52,622
3	October 12, 1958	at Green Bay Packers	W 24–17	3–0	Milwaukee County Stadium	24,533
4	October 19, 1958	at Detroit Lions	W 40–14	4–0	Tiger Stadium	55,190
5	October 26, 1958	Washington Redskins	W 35–10	5–0	Memorial Stadium	54,403
6	November 2, 1958	Green Bay Packers	W 56–0	6–0	Memorial Stadium	51,333
7	November 9, 1958	at New York Giants	L 21–24	6–1	Yankee Stadium	71,164
8	November 16, 1958	at Chicago Bears	W 17–0	7–1	Wrigley Field	48,664
9	November 23, 1958	Los Angeles Rams	W 34–7	8–1	Memorial Stadium	57,557
10	November 30, 1958	San Francisco 49ers	W 35–27	9–1	Memorial Stadium	57,557
11	December 6, 1958	at Los Angeles Rams	L 28–30	9–2	Los Angeles Memorial Coliseum	100,202
12	December 14, 1958	at San Francisco 49ers	L 12–21	9–3	Kezar Stadium	53,334
