Game	Date	Team	Score	High points	High rebounds	High assists	Location Attendance	Record
46	February 2	@ Milwaukee Bucks	L 106-122	B. Benjamin (19)	B. Benjamin (13)	T. Brown (4)	Bradley Center 17,832	22-24
47	February 3	@ Atlanta Hawks	W 112-110	R. Pierce (26)	S. Kemp (15)	G. Payton (12)	Omni Coliseum 9,951	23-24
48	February 5	@ New Jersey Nets	W 95-85	R. Pierce (19)	B. Benjamin (10)	N. McMillan (4)	Brendan Byrne Arena 9,328	24-24
49	February 11	Houston Rockets	W 105-99	R. Pierce (31)	S. Kemp (10)	E. Johnson , N. McMillan , G. Payton (4)	Seattle Center Coliseum 12,676	25-24
50	February 14	San Antonio Spurs	W 108-91	R. Pierce (23)	M. Cage (10)	N. McMillan (8)	Seattle Center Coliseum 12,126	26-24
51	February 15	@ Golden State Warriors	L 122-140	E. Johnson (28)	B. Benjamin (11)	G. Payton (10)	Oakland-Alameda County Arena 15,025	26-25
52	February 17	Phoenix Suns	W 98-96	S. Kemp (24)	S. Kemp (14)	G. Payton (8)	Seattle Center Coliseum 11,144	27-25
53	February 20	Los Angeles Lakers	W 105-103	E. Johnson (24)	M. Cage (14)	G. Payton (7)	Kingdome 30,847	28-25
54	February 22	Portland Trail Blazers	W 113-104	E. Johnson (29)	B. Benjamin (13)	N. McMillan , G. Payton (8)	Kingdome 38,610	29-25
55	February 24	@ Minnesota Timberwolves	W 106-91	E. Johnson (26)	S. Kemp (15)	N. McMillan (8)	Target Center 18,082	30-25
56	February 27	@ Utah Jazz	W 130-124 (OT)	E. Johnson (32)	S. Kemp (9)	N. McMillan , G. Payton (7)	Delta Center 19,911	31-25
