No. in Series	No. in Season	Title	Directed by	Written by	Original air date	Production code	U.S. viewers (millions)
24	1	"Home Front"	Ken Olin	Monica Owusu-Breen & Alison Schapker	September30,2007	201	13.26
25	2	"An American Family"	Gloria Muzio	David Marshall Grant & Molly Newman	October7,2007	202	12.21
26	3	"History Repeating"	Matt Shakman	Jon Robin Baitz & Jennifer Cecil	October14,2007	203	12.71
27	4	"States of Union"	Michael Schultz	Sherri Cooper-Landsman & Liz Tigelaar	October21,2007	204	11.92
28	5	"Domestic Issues"	Ken Olin	Peter Calloway & Cliff Olin	October28,2007	205	12.75
29	6	"Two Places"	Gloria Muzio	Monica Owusu-Breen & Alison Schapker	November4,2007	206	12.25
30	7	"36 Hours"	David Paymer	Molly Newman & David Marshall Grant	November11,2007	207	12.53
31	8	"Something New"	Michael Morris	Jennifer Cecil & Sherri Cooper-Landsman	November25,2007	208	12.52
33	10	"The Feast of the Epiphany"	Laura Innes	David Marshall Grant & Jason Wilborn	January13,2008	210	10.92
34	11	"The Missionary Imposition"	Michael Morris	Daniel Silk & Brian Studler	February10,2008	211	8.63
35	12	"Compromises"	David Paymer	Cliff Olin & Peter Calloway	February17,2008	212	8.50
36	13	"Separation Anxiety"	Gloria Muzio	David Marshall Grant & Molly Newman	April20,2008	213	10.50
37	14	"Double Negative"	Michael Schultz	Josh Reims & Liz Tigelaar	April27,2008	214	11.55
