Outcome	Year	Surface	Opponent	Score
Runner-up	2 November 1998	Clay	Jiří Novák	3–6, 3–6
Runner-up	10 May 1999	Clay	Lleyton Hewitt	4–6, 7–6 (7–2) , 1–6
Runner-up	12 March 2001	Hard	Jan-Michael Gambill	5–7, 4–6
Runner-up	30 April 2001	Clay	Andy Roddick	2–6, 4–6
Runner-up	24 May 2004	Clay	Filippo Volandri	1–6, 4–6
Runner-up	11 October 2004	Carpet	Robin Söderling	2–6, 6–3, 4–6
Winner	31 January 2005	Hard	Jiří Novák	7–6 (8–6) , 6–2
Runner-up	9 January 2006	Hard	Florent Serra	3–6, 4–6
Runner-up	6 February 2006	Hard	Tommy Haas	3–6, 6–3, 6–7 (5–7)
Winner	1 January 2007	Hard	Stefan Koubek	6–1, 6–3
Winner	28 January 2007	Hard	James Blake	5–7, 6–4, 6–4
Runner-up	11 January 2011	Hard	Stanislas Wawrinka	5–7, 6–4, 1–6
