Name	Country of Origin	Position	Elected	Term
Catherine Dupe Atoki	Nigeria	Chairperson	2007	2013
Reine Alapini-Gansou	Benin	Member	2005	2011
Prof. Pacifique Manirakiza	Burundi	Member	2011	2017
Med Kaggwa	Uganda	Member	2011	2017
Faith Pansy Tlakula	South Africa	Member	2005	2011
Zainabo Sylvie Kayitesi	Rwanda	Vice Chairperson	2007	2009
Soyata Maiga	Mali	Member	2007	2013
Yeung Kam John Yeung Sik Yuen	Mauritius	Member	2007	2013
Lucy Asuagbor	Cameroon	Member	2010	2013
Mohamed Khalfallah	Tunisia	Member	2009	2015
Maya Sahli Fadel	Algeria	Member	2011	2017
