Res.	Record	Opponent	Method	Event	Round	Time	Location
Win	23-4	Tomomi Sunaba	Decision (unanimous)	Deep - 44th Impact	2	5:00	Tokyo, Japan
Win	22-4	Lisa Ellis	Submission (armbar)	Deep - Toyama Impact	3	2:53	Toyama, Japan
Win	21-4	Nicdali Rivera-Calanoc	TKO (knees to the body)	Deep - 41st Impact	1	0:21	Tokyo, Japan
Win	20-4	Hikaru Shinohara	Submission (armbar)	Deep - Protect Impact 2008	1	1:00	Tokyo, Japan
Win	19-4	Misaki Takimoto	TKO (kicks to the body)	Deep - 37th Impact	2	4:40	Tokyo, Japan
Win	18-4	Waenthong Sakrungreong	Technical Submission (armbar)	Deep - Protect Impact 2007	1	0:43	Osaka, Japan
Win	17-4	Yukiko Seki	Submission (kimura)	Deep - clubDEEP Kanazawa	1	1:07	Ishikawa, Japan
Win	16-4	Masako Yoshida	Submission (armbar)	Deep - clubDEEP Sendai	1	3:23	Miyagi, Japan
Win	15-4	Hisae Watanabe	Decision (majority)	Deep - 31st Impact	3	5:00	Tokyo, Japan
Win	14-4	Misaki Takimoto	Submission (armbar)	Deep - clubDEEP Tokyo	1	4:32	Tokyo, Japan
Win	13-4	Seo Hee Ham	Submission (triangle choke)	Deep - clubDEEP Toyama: Barbarian Festival 6	2	3:44	Toyama, Japan
Win	12-4	Seri Saito	Submission (armbar)	Deep - clubDEEP Toyama: Barbarian Festival 5	1	3:17	Toyama, Japan
Loss	11-4	Lisa Ellis	Submission (scarf hold armlock)	Smackgirl - Women Hold Their Ground	1	3:04	Tokyo, Japan
Win	11-3	Carina Damm	Decision (unanimous)	MARS 4 - New Deal	2	5:00	Tokyo, Japan
Loss	10-3	Carina Damm	Technical Submission (armbar)	MARS - MARS Attack 1	2	1:17	Tokyo, Japan
Win	10-2	Yayoi Okubo	Submission (armbar)	Deep - clubDEEP Toyama: Barbarian Festival 4	1	0:53	Toyama, Japan
Win	9-2	Yuki Furudate	Submission (rear naked choke)	Deep - 23rd Impact	1	2:52	Tokyo, Japan
Loss	8-2	Misaki Takimoto	Submission (armbar)	G-Shooto 03	1	3:08	Tokyo, Japan
Win	8-1	Kazumi Kaneko	TKO (punches)	Deep - clubDEEP Toyama: Barbarian Festival 3	1	0:18	Toyama, Japan
Win	7-1	Akiko Inoue	Decision (unanimous)	G-Shooto - Plus 03	2	5:00	Tokyo, Japan
Win	6-1	Ikuma Shibata	Submission (armbar)	W-FACE	1	0:33	Tokyo, Japan
Win	5-1	Hikaru Shinohara	Submission (armbar)	Deep - clubDEEP Toyama: Barbarian Festival 2	1	1:44	Toyama, Japan
Win	4-1	Izumi Noguchi	Decision (unanimous)	G-Shooto 02	2	5:00	Tokyo, Japan
Win	3-1	Yoko Hattori	Submission (armbar)	HEAT 1	1	2:38	Aichi, Japan
Win	2-1	Chihiro Takahashi	Submission (armbar)	G-Shooto 01	1	3:48	Tokyo, Japan
Loss	1-1	Misaki Takimoto	Submission (armbar)	Deep - clubDEEP Toyama: Barbarian Festival 1	1	4:45	Toyama, Japan
Win	1-0	Eri Ishiyama	Decision (unanimous)	Cage Force - Cross Section 2	2	5:00	Tokyo, Japan
