Game	January	Opponent	Score	Record
33	1	@ Boston Bruins	6 - 0	14-12-7
34	4	Detroit Red Wings	2 - 1	15-12-7
35	7	@ Montreal Canadiens	3 - 1	16-12-7
36	8	Chicago Black Hawks	1 - 1	16-12-8
37	11	Toronto Maple Leafs	2 - 1	16-13-8
38	14	@ Detroit Red Wings	4 - 2	16-14-8
39	15	Detroit Red Wings	1 - 0	16-15-8
40	18	Boston Bruins	4 - 2	16-16-8
41	21	@ Toronto Maple Leafs	2 - 1	16-17-8
42	22	@ Chicago Black Hawks	4 - 3	16-18-8
43	25	@ Toronto Maple Leafs	5 - 1	16-19-8
44	28	@ Boston Bruins	2 - 2	16-19-9
45	29	Montreal Canadiens	2 - 0	17-19-9
