Driver	Team	Laps	Time/Retired	Grid	Points
Cristiano da Matta	PKV Racing	105	1:51:51.404	10	33
Sébastien Bourdais	Newman/Haas Racing	105	+10.128 secs	5	29
Paul Tracy	Forsythe Racing	105	+17.570 secs	3	26
Mario Domínguez	Forsythe Racing	105	+18.640 secs	6	23
A. J. Allmendinger	RuSPORT	105	+26.708 secs	2	21
Jimmy Vasser	PKV Racing	105	+33.477 secs	8	19
Andrew Ranger	Mi-Jack Conquest Racing	105	+40.345 secs	7	17
Ronnie Bremer	HVM Racing	104	+ 1 Lap	9	15
Björn Wirdheim	HVM Racing	104	+ 1 Lap	13	13
Timo Glock	Rocketsports Racing	104	+ 1 Lap	11	11
Michael Valiante	Dale Coyne Racing	104	+ 1 Lap	15	10
Nelson Philippe	Mi-Jack Conquest Racing	104	+ 1 Lap	17	9
Ricardo Sperafico	Dale Coyne Racing	104	+ 1 Lap	14	8
Marcus Marshall	Team Australia	103	+ 2 Laps	18	7
Ryan Hunter-Reay	Rocketsports Racing	103	+ 2 Laps	16	6
Oriol Servià	Newman/Haas Racing	79	Drive shaft	12	5
Justin Wilson	RuSPORT	45	Oil pump	1	7
Alex Tagliani	Team Australia	8	Engine	4	3
