Season	Series	Team	Races	Wins	Poles	F/Laps	Podiums	Points	Position
1988	European Formula Ford 1600	Eufra Racing	4	1	1	0	3	50	2nd
1988	German Formula Ford 1600	Eufra Racing	7	3	0	0	5	124	6th
1988	Formula König	Hoecker Sportwagenservice	10	9	1	1	10	192	1st
1989	German Formula Three	WTS Racing	12	2	2	0	7	163	3rd
1989	European Formula Three Cup	WTS Racing	1	0	0	0	0	N/A	NC
1989	Macau Grand Prix	WTS Racing	1	0	0	0	0	N/A	NC
1990	World Sportscar Championship	Team Sauber Mercedes	3	1	0	1	3	21	5th
1990	German Formula Three	WTS Racing	11	5	6	4	7	148	1st
1990	European Formula Three Cup	WTS Racing	1	0	1	1	0	N/A	NC
1990	Macau Grand Prix	WTS Racing	1	1	0	0	0	N/A	1st
1990	Deutsche Tourenwagen Meisterschaft	HWA AG	1	0	0	0	0	0	NC
1991	Formula One	Team 7UP Jordan	1	0	0	0	0	0	14th
1991	Formula One	Camel Benetton Ford	5	0	0	0	0	4	14th
1991	World Sportscar Championship	Team Sauber Mercedes	8	1	0	2	2	43	9th
1991	Deutsche Tourenwagen Meisterschaft	Zakspeed Mercedes	2	0	0	0	0	0	NC
1991	Japanese Formula 3000	Team Le Mans	1	0	0	0	1	6	12th
1992	Formula One	Camel Benetton Ford	16	1	0	2	8	53	3rd
1993	Formula One	Camel Benetton Ford	16	1	0	5	9	52	4th
1994	Formula One	Mild Seven Benetton Ford	14	8	6	8	10	92	1st
1995	Formula One	Mild Seven Benetton Renault	17	9	4	8	11	102	1st
1996	Formula One	Scuderia Ferrari S.p.A.	16	3	4	2	8	59	3rd
1997	Formula One	Scuderia Ferrari Marlboro	17	5	3	3	8	78	DSQ
1998	Formula One	Scuderia Ferrari Marlboro	16	6	3	6	11	86	2nd
1999	Formula One	Scuderia Ferrari Marlboro	10	2	3	5	6	44	5th
2000	Formula One	Scuderia Ferrari Marlboro	17	9	9	2	12	108	1st
2001	Formula One	Scuderia Ferrari Marlboro	17	9	11	3	14	123	1st
2002	Formula One	Scuderia Ferrari Marlboro	17	11	7	7	17	144	1st
2003	Formula One	Scuderia Ferrari Marlboro	16	6	5	5	9	93	1st
2004	Formula One	Scuderia Ferrari Marlboro	18	13	8	10	15	148	1st
2005	Formula One	Scuderia Ferrari Marlboro	19	1	1	3	5	62	3rd
2006	Formula One	Scuderia Ferrari Marlboro	18	7	4	7	12	121	2nd
2010	Formula One	Mercedes GP Petronas F1 Team	19	0	0	0	0	72	9th
2011	Formula One	Mercedes GP Petronas F1 Team	19	0	0	0	0	76	8th
