Season	Series	Wins	Podiums	Position
2003	Renault Speed Trophy F2000	10	10	1st
2004	French Formula Renault	1	4	7th
2004	Formula Renault 2000 Eurocup	0	0	14th
2005	French Formula Renault	10	13	1st
2005	Eurocup Formula Renault 2.0	0	2	12th
2005	Macau Grand Prix	0	0	9th
2006	Formula 3 Euro Series	0	1	13th
2006	British Formula Three Championship	2	2	NC†
2006	Macau Grand Prix	0	0	5th
2007	Formula 3 Euro Series	6	13	1st
2007	Masters of Formula 3	0	0	14th
2007	Macau Grand Prix	0	0	8th
2008	GP2 Series	2	6	4th
2008	GP2 Asia Series	4	5	1st
2008	Formula One	Test driver	Test driver	Test driver
2009	GP2 Series	2	3	4th
2009	Formula One	0	0	23rd
2010	GP2 Series	0	2	14th
2010	Auto GP	4	7	1st
2010	FIA GT1 World Championship	2	3	11th
2010	24 Hours of Le Mans	0	0	DNF
2010	24 Hours of Spa	0	0	16th
2011	GP2 Series	5	10	1st
2011	GP2 Asia Series	1	2	1st
2011	Formula One	Test driver	Test driver	Test driver
2012	Formula One	0	3	8th
2013	Formula One	0	5	7th*
