Year	Stage	Category	Start	Finish	Leader at the summit
2013	9	1	Saint-Girons	Bagnères-de-Bigorre	Tom Danielson ( USA )
2012	17	1	Bagnères-de-Luchon	Peyragudes	Thomas Voeckler ( FRA )
2007	15	1	Foix	Loudenvielle	Juan Manuel Gárate ( ESP )
2005	15	1	Lézat-sur-Lèze	Pla d'Adet	Erik Dekker ( NED )
2003	14	1	Saint-Girons	Loudenvielle	Richard Virenque ( FRA )
2001	13	1	Foix	Pla d'Adet	Laurent Jalabert ( FRA )
1999	15	1	Saint-Gaudens	Piau-Engaly	Alberto Elli ( ITA )
1998	11	1	Bagnères-de-Luchon	Plateau de Beille	Alberto Elli ( ITA )
1995	15	1	Saint-Girons	Cauterets	Richard Virenque ( FRA )
1988	15	1	Saint-Girons	Luz Ardiden	Robert Millar ( GBR )
1979	1	2	Fleurance	Bagnères-de-Luchon	Bernard Hinault ( FRA )
1976	14	2	Saint-Gaudens	Saint-Lary-Soulan	Lucien Van Impe ( BEL )
1973	13	2	Bourg-Madame	Bagnères-de-Luchon	José-Manuel Fuente ( ESP )
1971	14	2	Revel	Bagnères-de-Luchon	José-Manuel Fuente ( ESP )
1970	18	2	Saint-Gaudens	La Mongie	Guerrino Tosello ( ITA )
1969	16	2	Castelnaudary	Bagnères-de-Luchon	Raymond Delisle ( FRA )
1967	16	1	Toulouse	Bagnères-de-Luchon	Fernando Manzanèque ( ESP )
1966	11	2	Pau	Bagnères-de-Luchon	Joaquim Galera ( ESP )
