Year	Competition	Date	Location	Score	Result
2009	World Group II, Play-Off	25 - 26 Apr	Gdynia	3–2	Win
2009	Europe/Africa Zone, Group I, Round Robin	06 Feb	Tallinn	2–1	Win
2009	Europe/Africa Zone, Group I, Prom. Play-Off	07 Feb	Tallinn	2–1	Win
2009	Europe/Africa Zone, Group I, Round Robin	05 Feb	Tallinn	3–0	Win
2009	Europe/Africa Zone, Group I, Round Robin	04 Feb	Tallinn	2–1	Win
2008	Europe/Africa Zone, Group I, Rel. Play-off	02 Feb	Budapest	3-0	Win
2008	Europe/Africa Zone, Group I, Round Robin	31 Jan	Budapest	1–2	Loss
2008	Europe/Africa Zone, Group I, Round Robin	30 Jan	Budapest	0–3	Loss
2007	Europe/Africa Zone, Group I, 1st-4th Play-off	21 Apr	Plovdiv	1–2	Loss
2007	Europe/Africa Zone, Group I, Round Robin	20 Apr	Plovdiv	3–0	Win
2007	Europe/Africa Zone, Group I, Round Robin	19 Apr	Plovdiv	3–0	Win
2007	Europe/Africa Zone, Group I, Round Robin	18 Apr	Plovdiv	3–0	Win
2006	Europe/Africa Zone, Group II, Play-off	29 Apr	Antalya	3–0	Win
2006	Europe/Africa Zone, Group II, Round Robin	28 Apr	Antalya	3–0	Win
2006	Europe/Africa Zone, Group II, Round Robin	27 Apr	Antalya	3–0	Win
2006	Europe/Africa Zone, Group II, Round Robin	26 Apr	Antalya	3–0	Win
2005	Europe/Africa Zone, Group I, Rel. Play-off	23 Apr	Antalya	0–3	Loss
2005	Europe/Africa Zone, Group I, Round Robin	22 Apr	Antalya	1–2	Loss
2005	Europe/Africa Zone, Group I, Round Robin	21 Apr	Antalya	1–2	Loss
2005	Europe/Africa Zone, Group I, Round Robin	20 Apr	Antalya	0–3	Loss
2004	Europe/Africa Zone, Group I, Round Robin	22 Apr	Athens	1–2	Loss
2004	Europe/Africa Zone, Group I, Round Robin	21 Apr	Athens	1–2	Loss
2004	Europe/Africa Zone, Group I, Round Robin	20 Apr	Athens	2–1	Win
2003	Europe/Africa Zone, Group I, Round Robin	24 Apr	Estoril	1–2	Loss
2003	Europe/Africa Zone, Group I, Round Robin	23 Apr	Estoril	2–1	Win
2003	Europe/Africa Zone, Group I, Round Robin	22 Apr	Estoril	1-2	Loss
2003	Europe/Africa Zone, Group I, Round Robin	21 Apr	Estoril	2–1	Win
2002	Europe/Africa Zone, Group I, Round Robin	26 Apr	Antalya	2–1	Win
2002	Europe/Africa Zone, Group I, Round Robin	25 Apr	Antalya	0-3	Loss
2002	Europe/Africa Zone, Group I, Round Robin	24 Apr	Antalya	1-2	Loss
2001	Europe/Africa Zone, Group I, Round Robin	26 Apr	Murcia	3–0	Win
2001	Europe/Africa Zone, Group I, Round Robin	25 Apr	Murcia	0-3	Loss
2001	Europe/Africa Zone, Group I, Round Robin	24 Apr	Murcia	0-3	Loss
2000	Europe/Africa Zone, Group I, Round Robin	19 May	Murcia	0-3	Loss
2000	Europe/Africa Zone, Group I, Round Robin	17 May	Murcia	3-0	Win
2000	Europe/Africa Zone, Group I, Round Robin	16 May	Murcia	0-3	Loss
2000	Europe/Africa Zone, Group I, Round Robin	15 May	Murcia	0-3	Loss
