Institution	Nickname	Location	Founded	Joined ACC	School Type	ACC Football Titles
Boston College	Eagles	Chestnut Hill, Massachusetts	1863	2005	Private/Jesuit	0
Clemson	Tigers	Clemson, South Carolina	1889	1953	Public	13
Duke	Blue Devils	Durham, North Carolina	1838	1953	Private/Non-Sectarian	7
Florida State	Seminoles	Tallahassee, Florida	1851	1991	Public	12
Georgia Tech	Yellow Jackets	Atlanta, Georgia	1885	1979	Public	3
Maryland	Terrapins	College Park, Maryland	1856	1953	Public	9
Miami	Hurricanes	Coral Gables, Florida	1925	2004	Private/Non-Sectarian	0
North Carolina	Tar Heels	Chapel Hill, North Carolina	1789	1953	Public	5
NC State	Wolfpack	Raleigh, North Carolina	1887	1953	Public	7
Virginia	Cavaliers	Charlottesville, Virginia	1819	1953	Public	2
Virginia Tech	Hokies	Blacksburg, Virginia	1872	2004	Public	3
