Team	Driver	Chassis	Engine	Rounds
Lawson Team Impul	Tsugio Matsuda	Lola FN06	Toyota RV8J	All
Lawson Team Impul	Benoît Tréluyer	Lola FN06	Toyota RV8J	All
Kondo Racing	Naoki Yokomizo	Lola FN06	Toyota RV8J	All
Kondo Racing	João Paulo de Oliveira	Lola FN06	Toyota RV8J	All
SG Team 5Zigen	Toshihiro Kaneishi	Lola FN06	Honda HF386E	All
SG Team 5Zigen	Katsuyuki Hiranaka	Lola FN06	Honda HF386E	1–4, 7–8
SG Team 5Zigen	Hiroki Yoshimoto	Lola FN06	Honda HF386E	5–6
Team LeMans	Satoshi Motoyama	Lola FN06	Toyota RV8J	All
Team LeMans	Hiroaki Ishiura	Lola FN06	Toyota RV8J	All
TP Checker Impul	Kohei Hirate	Lola FN06	Toyota RV8J	1–6, 8
TP Checker Impul	Richard Lyons	Lola FN06	Toyota RV8J	7
PIAA Nakajima Racing	Loïc Duval	Lola FN06	Honda HF386E	All
PIAA Nakajima Racing	Takashi Kogure	Lola FN06	Honda HF386E	All
Petronas Team TOM'S	André Lotterer	Lola FN06	Toyota RV8J	All
Petronas Team TOM'S	Seiji Ara	Lola FN06	Toyota RV8J	All
DoCoMo Team Dandelion Racing	Kosuke Matsuura	Lola FN06	Honda HF386E	All
DoCoMo Team Dandelion Racing	Takeshi Tsuchiya	Lola FN06	Honda HF386E	All
Cerumo/Inging Motorsport	Ronnie Quintarelli	Lola FN06	Toyota RV8J	All
Cerumo/Inging Motorsport	Yuji Tachikawa	Lola FN06	Toyota RV8J	All
Autobacs Racing Team Aguri	Yuji Ide	Lola FN06	Honda HF386E	All
Autobacs Racing Team Aguri	Takuya Izawa	Lola FN06	Honda HF386E	All
Stonemarket Blaak Cerumo/Inging Racing	Roberto Streit	Lola FN06	Toyota RV8J	All
