Grand Cru	Region	Village	Wine style	Vineyard surface (2010)
Chablis Grand Cru	Chablis	Chablis	White wine	hectares (acres)
Chambertin	Côte de Nuits	Gevrey-Chambertin	Red wine	hectares (acres)
Chambertin-Clos de Bèze	Côte de Nuits	Gevrey-Chambertin	Red wine	hectares (acres)
Chapelle-Chambertin	Côte de Nuits	Gevrey-Chambertin	Red wine	hectares (acres)
Charmes-Chambertin	Côte de Nuits	Gevrey-Chambertin	Red wine	hectares (acres)
Griotte-Chambertin	Côte de Nuits	Gevrey-Chambertin	Red wine	hectares (acres)
Latricières-Chambertin	Côte de Nuits	Gevrey-Chambertin	Red wine	hectares (acres)
Mazis-Chambertin	Côte de Nuits	Gevrey-Chambertin	Red wine	hectares (acres)
Mazoyères-Chambertin	Côte de Nuits	Gevrey-Chambertin	Red wine	hectares (acres)
Ruchottes-Chambertin	Côte de Nuits	Gevrey-Chambertin	Red wine	hectares (acres)
Bonnes-Mares	Côte de Nuits	Morey-Saint-Denis [a ]	Red wine	hectares (acres)
Clos de la Roche	Côte de Nuits	Morey-Saint-Denis	Red wine	hectares (acres)
Clos des Lambrays	Côte de Nuits	Morey-Saint-Denis	Red wine	hectares (acres)
Clos de Tart	Côte de Nuits	Morey-Saint-Denis	Red wine	hectares (acres)
Clos Saint-Denis	Côte de Nuits	Morey-Saint-Denis	Red wine	hectares (acres)
Bonnes-Mares	Côte de Nuits	Chambolle-Musigny [a ]	Red wine	( hectares (acres))
Musigny	Côte de Nuits	Chambolle-Musigny	Red and some white wine	hectares (acres)
Clos de Vougeot	Côte de Nuits	Vougeot	Red wine	hectares (acres)
Échezeaux	Côte de Nuits	Flagey-Echézeaux	Red wine	hectares (acres)
Grands Échezeaux	Côte de Nuits	Flagey-Echézeaux	Red wine	hectares (acres)
La Grande Rue	Côte de Nuits	Vosne-Romanée	Red wine	hectares (acres)
La Romanée	Côte de Nuits	Vosne-Romanée	Red wine	hectares (acres)
La Tâche	Côte de Nuits	Vosne-Romanée	Red wine	hectares (acres)
Richebourg	Côte de Nuits	Vosne-Romanée	Red wine	hectares (acres)
Romanée-Conti	Côte de Nuits	Vosne-Romanée	Red wine	hectares (acres)
Romanée-Saint-Vivant	Côte de Nuits	Vosne-Romanée	Red wine	hectares (acres)
Corton	Côte de Beaune	Pernand-Vergelesses [b ]	Red and some white wine	hectares (acres)
Corton-Charlemagne	Côte de Beaune	Pernand-Vergelesses [b ]	White wine	hectares (acres)
Charlemagne	Côte de Beaune	Pernand-Vergelesses [c ]	White wine	hectares (acres)
Corton	Côte de Beaune	Ladoix-Serrigny [b ]	Red and some white wine	( hectares (acres))
Corton-Charlemagne	Côte de Beaune	Ladoix-Serrigny [b ]	White wine	( hectares (acres))
Corton	Côte de Beaune	Aloxe-Corton [b ]	Red and some white wine	( hectares (acres))
Corton-Charlemagne	Côte de Beaune	Aloxe-Corton [b ]	White wine	( hectares (acres))
Charlemagne	Côte de Beaune	Aloxe-Corton [c ]	White wine	( hectares (acres))
Bâtard-Montrachet	Côte de Beaune	Puligny-Montrachet [e ]	White wine	hectares (acres)
Bienvenues-Bâtard-Montrachet	Côte de Beaune	Puligny-Montrachet	White wine	hectares (acres)
Chevalier-Montrachet	Côte de Beaune	Puligny-Montrachet	White wine	hectares (acres)
Montrachet	Côte de Beaune	Puligny-Montrachet [d ]	White wine	hectares (acres)
Bâtard-Montrachet	Côte de Beaune	Chassagne-Montrachet [E ]	White wine	( hectares (acres))
Criots-Bâtard-Montrachet	Côte de Beaune	Chassagne-Montrachet	White wine	hectares (acres)
Montrachet	Côte de Beaune	Chassagne-Montrachet [d ]	White wine	( hectares (acres))
