Race	Class(es)	Length/Duration	Circuit	Date
Rolex 24 At Daytona	DP/GT	24 Hours	Daytona International Speedway	January 26 January 27
Gainsco Grand Prix of Miami	DP/GT	mi (km)	Homestead-Miami Speedway	March 29
Mexico City 250	DP/GT	mi (km)	Autodromo Hermanos Rodriguez	April 19
Bosch Engineering 250 at VIR	DP/GT	mi (km)	Virginia International Raceway	April 27
RumBum.com 250	DP/GT	mi (km)	Mazda Raceway Laguna Seca	May 17
Lime Rock GT Classic 250	GT	mi (km)	Lime Rock Park	May 26
Sahlen's Six Hours of the Glen	DP/GT	6 Hours	Watkins Glen International (Long)	June 7
EMCO Gears Classic	DP/GT	mi (km)	Mid-Ohio Sports Car Course	June 21
Brumos Porsche 250	DP/GT	mi (km)	Daytona International Speedway	July 3
Porsche 250 Presented by Bradley Arant	DP/GT	mi (km)	Barber Motorsports Park	July 20
Circuit Gilles Villeneuve	DP/GT	mi (km)	Circuit Gilles Villeneuve	August 1
Crown Royal 200 at the Glen	DP	mi (km)	Watkins Glen International (Short)	August 8
Armed Forces 250	DP	mi (km)	Infineon Raceway	August 23
Supercar Life 250	DP/GT	mi (km)	New Jersey Motorsports Park	August 31
SunRichGourmet.com 1000	DP/GT	km (mi)	Miller Motorsports Park	September 20
