Driver	Constructor	Laps	Time/Retired	Grid
Jacky Ickx	Ferrari	60	1:42:17.3	3
Clay Regazzoni	Ferrari	60	+0.61	2
Rolf Stommelen	Brabham - Ford	60	+1:27.88	17
Pedro Rodríguez	BRM	59	+ 1 lap	22
Jackie Oliver	BRM	59	+ 1 Lap	14
Jean-Pierre Beltoise	Matra	59	+ 1 lap	7
Ignazio Giunti	Ferrari	59	+ 1 lap	5
Chris Amon	March - Ford	59	+ 1 Lap	6
Jo Siffert	March - Ford	59	+ 1 Lap	20
Peter Gethin	McLaren - Ford	59	+ 1 Lap	21
George Eaton	BRM	58	+ 2 Laps	23
Andrea de Adamich	McLaren - Alfa Romeo	57	+ 3 Laps	15
Jack Brabham	Brabham - Ford	56	+ 4 Laps	8
Henri Pescarolo	Matra	56	+ 4 Laps	13
Emerson Fittipaldi	Lotus - Ford	55	+ 5 Laps	16
Denny Hulme	McLaren - Ford	30	Engine	11
John Surtees	Surtees - Ford	27	Engine	12
Tim Schenken	De Tomaso - Ford	25	Engine	19
Jochen Rindt	Lotus - Ford	21	Engine	1
Mario Andretti	March - Ford	13	Accident	18
Silvio Moser	Bellasi - Ford	13	Radiator	24
Jackie Stewart	March - Ford	7	Fuel Pipe	4
John Miles	Lotus - Ford	4	Brakes	10
François Cevert	March - Ford	0	Engine	9
