Outcome	Date	Tournament	Surface	Partner	Opponents in the final	Score
Winner	8 August 2004	Timișoara , Romania	Clay	Horia Tecău	Marius Călugăru Ciprian Petre Porumb	6–3, 6–3
Runner-up	21 August 2004	Samarkand , Uzbekistan	Clay	Sebastian Fitz	Jean-François Bachelot Melle Van Gemerden	2–6, 6–3, 1–6
Winner	9 October 2004	Rome 2, Italy	Clay	Werner Eschauer	Francesco Aldi Francesco Piccari	6–7 (5–7) , 6–3, 6–0
Runner-up	2 July 2006	Constanța , Romania	Clay	Horia Tecău	Konstantinos Economidis Jean-Julien Rojer	6–7 (1–7) , 1–6
Runner-up	5 November 2006	Seoul , South Korea	Hard	Danai Udomchoke	Alexander Peya Björn Phau	4–6, 2–6
Winner	30 June 2007	Almaty 2 , Kazakhstan	Clay	Teodor-Dacian Crăciun	Alexey Kedryuk Alexandre Kudryavtsev	6–2, 6–1
Winner	9 September 2007	Brașov , Romania	Clay	Horia Tecău	Adrian Cruciat Marcel-Ioan Miron	5–7, 6–3, [10–8]
Runner-up	30 September 2007	Bucharest , Romania	Clay	Horia Tecău	Marcel Granollers Santiago Ventura	2–6, 1–6
Winner	2 March 2008	Cherbourg , France	Hard (I)	Horia Tecău	Jean-Claude Scherrer Márcio Torres	7–5, 7–5
Runner-up	27 April 2008	Cremona , Italy	Hard	Horia Tecău	Eduardo Schwank Dušan Vemić	3–6, 2–6
Winner	17 May 2008	Marrakech , Morocco	Clay	Frederico Gil	James Auckland Jamie Delgado	6–2, 6–3
Winner	29 June 2008	Constanța , Romania	Clay	Horia Tecău	Júlio Silva Simone Vagnozzi	6–4, 6–2
Runner-up	3 August 2008	Timișoara , Romania	Clay	Adrian Cruciat	Daniel Muñoz-de la Nava Rubén Ramírez Hidalgo	6–3, 4–6, [9–11]
Runner-up	21 June 2009	Constanța , Romania	Clay	Adrian Cruciat	Adrián García David Marrero	6–7 (5–7) , 2–6
Winner	10 September 2011	Brașov , Romania	Clay	Victor Anagnastopol	Dušan Lojda Benoît Paire	6–2, 6–3
Runner-up	21 April 2012	Rome , Italy	Clay	Andrei Dăescu	Dustin Brown Jonathan Marray	4–6, 6–7 (0–7)
Runner-up	14 July 2012	Timișoara , Romania	Clay	Andrei Dăescu	Goran Tošić Denis Zivkovic	2–6, 5–7
Winner	29 July 2012	Oberstaufen , Germany	Clay	Andrei Dăescu	Andrey Kuznetsov Jose Rubin Statham	7–6 (7–4) , 7–6 (7–1)
Runner-up	18 August 2012	Cordenons , Italy	Clay	Philipp Marx	Lukáš Dlouhý Michal Mertiňák	7–5, 5–7, [7–10]
Winner	25 August 2012	Segovia , Spain	Hard	Stefano Ianni	Konstantin Kravchuk Frank Moser	6–2, 6–3
Winner	1 September 2012	Como , Italy	Clay	Philipp Marx	Colin Ebelthite Jaroslav Pospíšil	6–4, 4–6, [10–4]
Winner	14 October 2012	Rennes , France	Hard	Philipp Marx	Tomasz Bednarek Mateusz Kowalczyk	6–3, 6–2
Runner-up	4 November 2012	Geneva , Switzerland	Clay	Philipp Marx	Johan Brunström Raven Klaasen	6–7 (2–7) , 7–6 (7–5) , [5–10]
Runner-up	11 November 2012	Bratislava , Slovakia	Hard	Philipp Marx	Lukáš Dlouhý Michail Elgin	7–6 (7–5) , 2–6, [6–10]
Runner-up	3 March 2013	Cherbourg , France	Hard	Philipp Marx	Sanchai Ratiwatana Sonchat Ratiwatana	5–7, 4–6
Runner-up	24 March 2013	Rimouski , Canada	Hard	Philipp Marx	Samuel Groth John-Patrick Smith	6–7 (5–7) , 6–7 (7–9)
Runner-up	31 March 2013	Le Gosier , Guadeloupe	Hard	Philipp Marx	Dudi Sela Jimmy Wang	1–6, 2–6
Runner-up	11 May 2013	Rome , Italy	Clay	Philipp Marx	Andre Begemann Martin Emmrich	6–7 (4–7) , 3–6
Runner-up	10 August 2013	City of San Marino , San Marino	Clay	Daniele Bracciali	Nicholas Monroe Simon Stadler	2–6, 4–6
