Name	Model	Park	Opened	Status
G'sengte Sau (de)	Bobsled roller coaster	Erlebnispark Tripsdrill	1998	Operating
Oachkatzl (Bavarian slang for Squirrel )	Family coaster	Märchenwald im Isartal	1999	Operating
Thor's Hammer	Bobsled roller coaster	Djurs Sommerland	2002	Operating
Drachenjagd	Junior coaster	Legoland Deutschland	2003	Operating
Drachenritt	Bobsled roller coaster	Belantis (de)	2003	Operating
Vild-Svinet (de)	Euro-Fighter	BonBon-Land	2003	Operating
Vilda Musen	Bobsled roller coaster	Gröna Lund	2003	Operating
Aqua Wind	Bobsled roller coaster	Lagunasia	2004	Operating
Coastersaurus	Junior coaster	Legoland California	2004	Operating
Fairly Odd Coaster	Spinning roller coaster	Nickelodeon Universe	2004	Operating
Heiße Fahrt	Bobsled roller coaster	Wild- und Freizeitpark Klotten/Cochem (de)	2004	Operating
Spinning Dragons	Spinning roller coaster	Worlds of Fun	2004	Operating
Typhoon	Euro-Fighter	Bobbejaanland	2004	Operating
Pandemonium	Spinning roller coaster	Six Flags New England	2005	Operating
Cobra	Bobsled roller coaster	Paultons Park	2006	Operating
Speed: No Limits	Euro-Fighter	Oakwood Theme Park	2006	Operating
Galaxy Orbiter	Spinning roller coaster	Galaxyland	2007	Operating
Hankatten	Spinning roller coaster	BonBon-Land	2007	Operating
Mystery Mine	Euro-Fighter	Dollywood	2007	Operating
Rage	Euro-Fighter	Adventure Island	2007	Operating
Pandemonium	Spinning roller coaster	Six Flags Fiesta Texas	2007	Operating
Pandemonium	Spinning roller coaster	Six Flags St. Louis	2007	Operating
Lynet	Launched LSM Coaster	Fårup Sommerland	2008	Operating
SpongeBob SquarePants Rock Bottom Plunge	Euro-Fighter	Nickelodeon Universe	2008	Operating
Pandemonium	Spinning roller coaster	Six Flags Over Texas	2008	Operating
Troublesome Trucks	Junior Coaster	Drayton Manor	2008	Operating
Anubis: The Ride	Launched LSM Coaster	Plopsaland De Panne	2009	Operating
Falcon	Euro-Fighter	Duinrell	2009	Operating
SAW: The Ride	Euro-Fighter	Thorpe Park	2009	Operating
Dare Devil Dive	Euro-Fighter	Six Flags Over Georgia	2011	Operating
Untamed	Euro-Fighter	Canobie Lake Park	2011	Operating
Van Helsing's Factory	Bobsled Coaster	Movie Park Germany	2011	Operating
Takabisha	Euro-Fighter	Fuji-Q Highland	2011	Operating
Iron Shark	Euro-Fighter	Galveston Island Historic Pleasure Pier	2012	Operating
Tren de la Mina	Family coaster	Parque de Atracciones de Madrid	2012	Operating
Gold Rush	Family Shuttle coaster	OK CORRAL	2012	Operating
The Smiler	Infinity Coaster	Alton Towers	2013	Operating
The Joker Formerly Pandemonium	Spinning roller coaster	Six Flags México Six Flags Discovery Kingdom	2013 2008 to 2012	Operating
Abyss	Euro-Fighter	Adventure World	2013	Operating
FireChaser Express	Launched Family Coaster	Dollywood	2014	Under Construction
