Team	Car(s)	Driver(s)	Primary Sponsor(s)	Owner(s)	Crew Chief
BK Racing	Toyota Camry	David Reutimann	Burger King / Dr Pepper	Ron Devine	Doug Richert
BK Racing	Toyota Camry	Travis Kvapil	Burger King / Dr Pepper	Ron Devine	Dale Ferguson
Earnhardt Ganassi Racing	Chevrolet SS	Jamie McMurray	McDonald's / Cessna	Felix Sabates	Kevin Manion
Earnhardt Ganassi Racing	Chevrolet SS	Juan Pablo Montoya	Target	Chip Ganassi	Chris Heroy
FAS Lane Racing	Ford Fusion	Ken Schrader / Terry Labonte Timmy Hill (R)	Federated Auto Parts / C&J Energy OXYwater	Frank Stoddard	Frank Stoddard
Front Row Motorsports	Ford Fusion	David Ragan	Detail Doctor / Taco Bell / Farm Rich	Bob Jenkins	Jay Guy
Front Row Motorsports	Ford Fusion	Josh Wise	Blockbuster.com / MDS Transport / The Pete Store	Jerry Freeze	Todd Anderson
Front Row Motorsports	Ford Fusion	David Gilliland	Love's Travel Stops / Long John Silver's	Brad Jenkins	Frank Kerr
Furniture Row Racing	Chevrolet SS	Kurt Busch	Furniture Row	Barney Visser	Todd Berrier
Germain Racing	Ford Fusion	Casey Mears	GEICO	Bob Germain, Jr.	Bootie Barker
Hendrick Motorsports	Chevrolet SS	Kasey Kahne	Farmers Insurance / Quaker State	Linda Hendrick	Kenny Francis
Hendrick Motorsports	Chevrolet SS	Jeff Gordon	Drive to End Hunger / Axalta	Rick Hendrick	Alan Gustafson
Hendrick Motorsports	Chevrolet SS	Jimmie Johnson	Lowe's / Kobalt Tools	Jeff Gordon	Chad Knaus
Hendrick Motorsports	Chevrolet SS	Dale Earnhardt, Jr.	National Guard / Diet Mountain Dew	Rick Hendrick	Steve Letarte
Joe Gibbs Racing	Toyota Camry	Denny Hamlin	FedEx	J. D. Gibbs	Darian Grubb
Joe Gibbs Racing	Toyota Camry	Kyle Busch	Mars Brands / Interstate Batteries	Joe Gibbs	Dave Rogers
Joe Gibbs Racing	Toyota Camry	Matt Kenseth	Husky / Dollar General	Joe Gibbs	Jason Ratcliff
JTG Daugherty Racing	Toyota Camry	Bobby Labonte / A. J. Allmendinger	Kingsford / Clorox / Bush's Beans	Tad Geschickter	Brian Burns
Michael Waltrip Racing	Toyota Camry	Clint Bowyer	5-hour Energy	Robert Kauffman	Brian Pattie
Michael Waltrip Racing	Toyota Camry	Brian Vickers / Michael Waltrip / Elliott Sadler	Aaron's Dream Machine	Michael Waltrip	Scott Miller
Michael Waltrip Racing	Toyota Camry	Martin Truex, Jr.	NAPA Auto Parts	Michael Waltrip	Chad Johnston
NEMCO Motorsports	Toyota Camry	Joe Nemechek	Royal Teak	Andrea Nemechek	Scott Eggleston
Penske Racing	Ford Fusion	Brad Keselowski	Miller Lite	Roger Penske	Paul Wolfe
Penske Racing	Ford Fusion	Joey Logano	Shell / Pennzoil	Walter Czarnecki	Todd Gordon
Phoenix Racing	Chevrolet SS	Justin Allgaier / Ryan Truex	Brandt	James Finch	Nick Harrison
Richard Childress Racing	Chevrolet SS	Paul Menard	Menards	Richard Childress	Slugger Labbe
Richard Childress Racing	Chevrolet SS	Kevin Harvick	Budweiser / Rheem	Richard Childress	Gil Martin
Richard Childress Racing	Chevrolet SS	Jeff Burton	Caterpillar, Inc. / Cheerios	Richard Childress	Luke Lambert
Richard Petty Motorsports	Ford Fusion	Marcos Ambrose	Stanley/DeWalt Power Tools	Richard Petty	Drew Blickensderfer
Richard Petty Motorsports	Ford Fusion	Aric Almirola	Smithfield Foods	Richard Petty	Todd Parrott
Roush Fenway Racing	Ford Fusion	Greg Biffle	3M / Bondo	Jack Roush	Matt Puccia
Roush Fenway Racing	Ford Fusion	Ricky Stenhouse, Jr. (R)	Best Buy / Valvoline / Zest	John W. Henry	Scott Graves
Roush Fenway Racing	Ford Fusion	Carl Edwards	Fastenal / Aflac / UPS / Subway	Jack Roush	Jimmy Fennig
Stewart-Haas Racing	Chevrolet SS	Danica Patrick (R)	Go Daddy	Gene Haas	Tony Gibson
Stewart-Haas Racing	Chevrolet SS	Mark Martin / Austin Dillon	Bass Pro Shops / Mobil 1	Margaret Haas	Steve Addington
Stewart-Haas Racing	Chevrolet SS	Ryan Newman	Quicken Loans / Haas Automation	Tony Stewart	Matt Borland
Swan Racing	Toyota Camry	Cole Whitt	Widow Wax / Lean1	Brandon Davis	Steve Lane
Tommy Baldwin Racing	Chevrolet SS	Dave Blaney	Accell Construction/ Sany	Tommy Baldwin, Jr.	Tommy Baldwin, Jr.
Tommy Baldwin Racing	Chevrolet SS	J. J. Yeley	Golden Corral /United Mining	Allen Heinke	Joe Lax
