Rank	Rider	Team	Speed	Time
1	Ian Lougher	Honda 250cc	100.741mph	30’ 22.495
2	Ryan Farquhar	Honda 250cc	100.265mph	30’ 31.151
3	Chris Palmer	Honda 250cc	98.607mph	31’ 01.940
4	Andrew Neill	Honda 250cc	98.546mph	31’ 03.093
5	Davy Morgan	Honda 250cc	96.314mph	31’ 46.270
6	Gary Owen	Honda 250cc	95.722mph	31’ 58.045
7	Phil Harvey	Honda 250cc	94.405mph	32’ 24.803
8	Paul Shoesmith	Honda 250cc	92.576mph	30’ 17.957
9	Sam Dunlop	Honda 250cc	92.470mph	30’ 20.051
10	Chris Barrett	Yamaha 250cc	91.630mph	30’ 36.733
