Country	Contestant	Height (cm)	Height (ft)	Hometown
Argentina	María Mercedes Viaña	174	5'8.5"	Santiago del Estero
Aruba	Christina Trejo	175	5'9"	Companashi
Australia	Kelly Louise Macguire	174	5'8.5"	Sydney
Bahamas	Aisha Delaney	178	5'10"	Nassau
Belarus	Yana Supranovich	180	5'11"	Minsk
Belgium	Cassandra D'Ermilio	175	5'9"	Quaregnon
Bolivia	Laura Olivera	173	5'8"	Yacuiba
Brazil	Rayanne Morais	174	5'8.5"	Divinópolis
Canada	Chanel Beckenlehner	173	5'8"	Toronto
China	Wang Qian	171	5'7.5"	Chengdu
Chinese Taipei	Yi Chih Chen	168	5'6"	Taipei
Colombia	Lina Mosquera	180	5'11"	Quibdó
Cuba	Patricia Rosales	179	5'10.5"	Niquero
Czech Republic	Darja Jacukevičová	180	5'11"	Veselí nad Moravou
Dominican Republic	Victoria Fernández	178	5'10"	Santiago
Ecuador	Isabella Chiriboga	174	5'8.5"	Quito
El Salvador	Vanessa Hueck	178	5'10"	San Salvador
Ethiopia	Rahel Woldekirkos	178	5'10"	Addis Ababa
Finland	Linda Wikstedt	174	5'8.5"	Helsinki
France	Mathilde Muller	176	5'9.5"	Valence
Gabon	Cynthia Mobumba	172	5'8"	Ngounié
Georgia	Maria Sarchimelia	174	5'8.5"	Tbilisi
Germany	Valora Roucek	168	5'6"	Cologne
Greece	Diana Igropoulou	177	5'9.5"	Athens
Guadeloupe	Joelle Clamy	184	6'0.5"	Petit-Canal
Honduras	Kenia Andrade	170	5'7"	Los Angeles
Hong Kong	Germaine Li	170	5'7"	Hong Kong
India	Harshita Saxena	175	5'9"	Goa
Indonesia	Ayu Diandra Sari	175	5'9"	Denpasar
Japan	Yuka Nakayama	173	5'8"	Fukuoka
Korea	Seo Eun-mi	175	5'9"	Seoul
Kyrgyzstan	Altynai Ismankulova	170	5'7"	Bishkek
Latvia	Anda Pudule	173	5'8"	Riga
Lebanon	Sarah Mansour	174	5'8.5"	Beirut
Macau	Yvonne Yang	179	5'10.5"	Macau
Malaysia	Tay Tze Juan	173	5'8"	Batu Pahat
Martinique	Nathaly Peters	175	5'9"	Fort de France
Mexico	Anagabriela Espinoza	180	5'11"	Monterrey
Moldova	Catalina Stascu	173	5'8"	Chişinău
Mongolia	Badamgerel Khurelbaatar	178	5'10"	Ulaan Baatar
Netherlands	Roline Hund	174	5'8.5"	Almere
Nicaragua	Slilma Ulloa	168	5'6"	Matagalpa
Northern Marianas	Sorene Maratita	163	5'4"	Saipan
Norway	Beatrice Delås	175	5'9"	Sellebakk
Panama	Joyce Jacobi	170	5'7"	David
Paraguay	Romina Bogado	175	5'9"	Asunción
Peru	Alejandra Pezet	176	5'9.5"	Lima
Philippines	Melody Gersbach †	175	5'7"	Daraga
Poland	Angelika Jakubowska	176	5'9.5"	Lubań
Puerto Rico	Mónica Pastrana	178	5'10"	Manatí
Romania	Iuliana Capsuc	174	5'8.5"	Bucharest
Russia	Ksenia Hrabovskaya	176	5'9.5"	Khabarovsk
Singapore	Annabelle Liang	169	5'6.5"	Singapore
Slovakia	Soňa Skoncová	174	5'8.5"	Prievidza
South Africa	Bokang Montjane	174	5'8.5"	Johannesburg
Spain	Melania Santiago	174	5'8.5"	Málaga
Sudan	Suna William	168	5'6"	Darfur
Tanzania	Illuminata James	176	5'9.5"	Mwanza
Thailand	Picha Nampradit	178	5'10"	Kanchanaburi
Turkey	Begüm Yılmaz	180	5'11"	Izmir
Uganda	Pierra Akwero	177	5'9.5"	Entebbe
United Kingdom	Chloe-Beth Morgan	171	5'7.5"	Cwmbran
USA	Aileen Jan Yap	170	5'6"	Houston
Venezuela	Laksmi Rodríguez	178	5'10"	Caracas
Vietnam	Trần Thị Quỳnh	175	5'9"	Hai Phong
