22/06/2008	Indonesia Super Series 2008	S.Series	7800.00	Runner-Up
06/04/2008	India Grand Prix Gold 2008	GP Gold	4900.00	Semi-Finalist
16/03/2008	Wilson Swiss Open Super Series 2008	S.Series	5040.00	Quarter-Finalist
09/03/2008	YONEX All England Super Series 2008	S.Series	3600.00	1\16
20/01/2008	Proton Malaysia Open Super Series 2008	S.Series	6420.00	Semi-Finalist
02/12/2007	YONEX-SUNRISE HONG KONG SUPER SERIES 2007	S.Series	7800.00	Runner-Up
25/11/2007	CHINA OPEN SUPER SERIES	S.Series	2220.00	1\32
19/08/2007	16th WORLD CHAMPIONSHIPS 2007	BWF Events	6600.00	Quarter-Finalist
22/07/2007	BINGO BONANZA PHILIPPINE OPEN 2007	GP Gold	2720.00	1\16
13/05/2007	DJARUM INDONESIA SUPER SERIES	S.Series	6420.00	Semi-Finalist
06/05/2007	AVIVA OPEN SINGAPORE SUPER SERIES 2007	S.Series	6420.00	Semi-Finalist
18/03/2007	WILSON SWISS OPEN SUPER SERIES	S.Series	6420.00	Semi-Finalist
11/03/2007	YONEX ALL ENGLAND SUPER SERIES	S.Series	6420.00	Semi-Finalist
28/01/2007	YONEX KOREA OPEN SUPER SERIES	S.Series	6420.00	Semi-Finalist
21/01/2007	PROTON MALAYSIA SUPER SERIES	S.Series	7800.00	Runner-Up
