State	Name	Hometown	Age 1	Talent
Alabama	Catherine Crosby	Brewton, AL	23	Flute
Alaska	Blair Chenoweth	Anchorage, AK	21	Ballet en Pointe
Arizona	Corrie Hill	Gilbert, AZ	24	Dance
Arkansas	Whitney Kirk	Cabot, AR	22	Vocal/Dance
California	Nicole Lamarche	Berkeley, CA	24	Vocal
Colorado	Katee Doland	Arvada, CO	23	Lyrical Dance
Connecticut	Marla Prete	North Haven, CT	22	Tap Dance
Delaware	Erin Elizabeth Williams	Lincoln, DE	20	Vocal
District of Columbia	Lisa Ferris	Portland, GA	21	Vocal
Florida	Ericka Dunlap	Orlando, FL	21	Vocal
Georgia	Andrea Bailey	Evans, GA	24	Vocal
Hawaii	Kanoelani Gibson	Kapolei, HI	22	Vocal
Idaho	Tiffany Jewell	Boise, ID	22	Vocal
Illinois	Andrea Fritz	Schaumburg, IL	21	Lyrical Dance
Indiana	Bryn Chapman	Indianapolis, IN	21	Vocal
Iowa	Nicole White	Eldridge, IA	22	Vocal
Kansas	Angelea Busby	Lenexa, KS	21	Interpretative baton twirling/dance
Kentucky	MacKenzie Mayes	Lexington, KY	23	Vocal
Louisiana	Melissa Clark	Ruston, LA	23	Vocal
Maine	Elizabeth Edgecomb	Limestone, ME	20	Classical Piano
Maryland	Marina Harrison	Severn, MD	22	Vocal
Massachusetts	Melissa Silva	Fall River, MA	23	Vocal
Michigan	Madonna Emond	Livonia, MI	22	Jazz Dance
Minnesota	Megan Torgerson	Warren, MN	23	Vocal
Mississippi	Allison Kellogg	Madison, MS	22	Ballet en Pointe
Missouri	Amber Etheridge	Springfield, MO	23	Vocal
Montana	Amber Shipman	Glendive, MT	19	Dance
Nebraska	Jane Noseworthy	Bellevue, NE	24	Vocal
Nevada	Christina O'Neil	Carson City, NV	24	Vocal
New Hampshire	Candace Glickman	Manchester, NH	21	Vocal
New Jersey	Jennifer Farrell	Margate, NJ	19	Ballet en Pointe
New Mexico	Rana Jones	Tatum, NM	22	Vocal
New York	Jessica Lynch	New York, NY	24	Jazz Dance en Pointe
North Carolina	Dana Reason	Raleigh	24	Tap Dance
North Dakota	Sara Schelkoph	Grand Forks, ND	23	Lyrical Ballet
Ohio	Janelle Couts	Akron, OH	22	Vocal
Oklahoma	Kelley Scott	Owasso	23	Vocal
Oregon	April Robinson	Gresham, OR	22	Tap Dance
Pennsylvania	Candace Otto	Murrysville, PA	23	Classical Vocal
Rhode Island	Laurie Gray	Warwick, RI	22	Classical Violin
South Carolina	Jessica Eddins	Columbia, SC	24	Classical Vocal
South Dakota	Sara Seever	Custer, SD	21	Vocal/Dance
Tennessee	Jamie Watkins	Soddy Daisy, TN	23	Vocal
Texas	Sunni Cranfill	Hooks, TX	23	Ballet en Pointe
Utah	Stacy Johnson	Provo, UT	21	Latin Jazz Dance
Vermont	Drell Hunter	Sharon, VT	24	Lyrical Dance
Virginia	Nancy Redd	Martinsville, VA	22	Piano
Washington	Fianna Dickson	Spokane, WA	24	Classical Jazz Dance
West Virginia	Allison Williams	Morgantown, WV	22	Vocal
Wisconsin	Tina Sauerhammer , M.D.	Green Bay, WI	22	Classical cello
Wyoming	Tamara Kocher	Gillette, WY	22	Dance
