Rider	Bike	Laps	Time	Grid
Noriyuki Haga	Yamaha YZF-R1	23	38:33.762	4
Troy Bayliss	Ducati 999 F07	23	+2.770	7
Troy Corser	Yamaha YZF-R1	23	+3.735	3
Max Neukirchner	Suzuki GSX-R1000 K7	23	+8.570	2
Fonsi Nieto	Kawasaki ZX-10R	23	+12.925	9
Max Biaggi	Suzuki GSX-R1000 K7	23	+13.283	6
James Toseland	Honda CBR1000RR	23	+16.395	1
Ruben Xaus	Ducati 999 F06	23	+22.581	10
Régis Laconi	Kawasaki ZX-10R	23	+22.828	8
Roberto Rolfo	Honda CBR1000RR	23	+32.729	11
Shinichi Nakatomi	Yamaha YZF-R1	23	+38.305	17
Karl Muggeridge	Honda CBR1000RR	23	+53.685	16
Yoann Tiberio	Honda CBR1000RR	23	+53.799	14
Michel Fabrizio	Honda CBR1000RR	23	+53.915	12
Guillaume Dietrich	Suzuki GSX-R1000 K6	23	+56.474	18
Steve Martin	Suzuki GSX-R1000 K6	23	+1:11.402	13
Luca Morelli	Honda CBR1000RR	19	Retirement	19
Jakub Smrž	Ducati 999 F05	4	Retirement	15
Dean Ellison	Ducati 999RS	4	Retirement	20
Lorenzo Lanzi	Ducati 999 F07	0	Retirement	5
