Rank	Nation	Gold	Silver	Bronze	Total
1	Italy	18	5	12	35
2	United States	10	10	9	29
3	China	7	15	9	31
4	Australia	5	8	0	13
5	Finland	4	1	3	8
6	Great Britain	3	2	4	9
7	USSR	2	2	0	4
8	Russia	2	1	4	7
9	Kuwait	1	1	3	5
10	Chinese Taipei	1	1	2	4
11	Spain	1	1	0	2
11	United Arab Emirates	1	1	0	2
13	South Korea	1	0	4	5
14	France	1	0	2	3
15	Sweden	0	3	0	3
16	Germany	0	2	0	2
17	Hungary	0	1	2	3
18	Japan	0	1	1	2
19	Canada	0	1	0	1
19	Turkey	0	1	0	1
21	Czech Republic	0	0	1	1
21	India	0	0	1	1
Total	Total	57	57	57	171
