Date	Visitor	Score	Home	Decision	Attendance	Record
January 3	Dallas	3 – 6	Minnesota	Backstrom	18,568	23–15–2
January 5	Minnesota	1 – 4	Nashville	Harding	17,113	23–16–2
January 7	Minnesota	1 – 3	Dallas	Backstrom	17,502	23–17–2
January 10	Minnesota	6 – 5	Detroit	Harding	17,848	24–17–2
January 11	Minnesota	5 – 2	Chicago	Harding	21,139	25–17–2
January 13	Phoenix	1 – 4	Minnesota	Harding	18,568	26–17–2
January 16	Calgary	3 – 2	Minnesota	Backstrom	18,568	26–17–3
January 18	Anaheim	4 – 2	Minnesota	Harding	18,568	26–18–3
January 21	Minnesota	4 – 2	Vancouver	Backstrom	18,630	27–18–3
January 22	Minnesota	1 – 2	Calgary	Harding	19,289	27–19–3
January 24	Minnesota	3 – 2	Colorado	Backstrom	15,321	28–19–3
January 30	Anaheim	1 – 5	Minnesota	Backstrom	18,568	29–19–3
