Driver	Constructor	Laps	Time/Retired	Grid
Jackie Stewart	Matra - Ford	80	1:50:39.1	4
Graham Hill	Lotus - Ford	80	+ 18.8	7
Denny Hulme	McLaren - Ford	80	+ 31.8	3
Jo Siffert	Lotus - Ford	80	+ 49.2	12
Bruce McLaren	McLaren - Ford	79	+ 1 Lap	8
Jean-Pierre Beltoise	Matra - Ford	78	+ 2 Laps	11
Jackie Oliver	BRM	77	+ 3 Laps	14
Sam Tingle	Brabham - Repco	73	+ 7 Laps	17
Peter de Klerk	Brabham - Repco	67	Not Classified	16
Jochen Rindt	Lotus - Ford	44	Fuel Pump	2
John Surtees	BRM	40	Engine	18
Pedro Rodríguez	BRM	38	Water Leak	15
Chris Amon	Ferrari	34	Engine	5
Jack Brabham	Brabham - Ford	32	Handling	1
Mario Andretti	Lotus - Ford	31	Gearbox	6
John Love	Lotus - Ford	31	Ignition	10
Jacky Ickx	Brabham - Ford	20	Ignition	13
Basil van Rooyen	McLaren - Ford	12	Brakes	9
