Player	Tries	Goals	Field Goals	Points
Hazem El Masri	6	44	0	112
Heka Nanai	8	0	0	32
Tim Winitana	8	0	0	32
Daniel Holdsworth	4	5	1	27
Matthew Utai	6	0	0	24
Luke Patten	4	0	0	16
Andrew Ryan	4	0	0	16
Willie Tonga	3	0	0	12
Arana Taumata	3	0	0	12
Brent Crisp	1	3	0	10
Ben Roberts	2	0	0	8
Reni Maitua	2	0	0	8
Corey Hughes	2	0	0	8
Cameron Phelps	1	0	0	4
Nick Youngquest	1	0	0	4
Andrew Emelio	1	0	0	4
Daryl Millard	1	0	0	4
Lee Te Maari	1	0	0	4
Danny Williams	1	0	0	4
Ben Barba	1	0	0	4
Fred Briggs	0	0	0	0
TOTAL	64	52	1	333
