Name	Position	Apps	Goals	Assists
Paul Robinson	Goalkeeper	39	0	0
Andre Ooijer	Defender	94	2	3
Stephen Warnock	Full Back	105	6	8
Christopher Samba	Defender	96	8	6
Tugay Kerimoğlu	Midfielder	291	12	12
Ryan Nelsen	Defender	144	1	2
Brett Emerton	Winger	230	13	29
David Dunn	Midfielder	239	40	32
Roque Santa Cruz	Forward	70	29	10
Benni McCarthy	Forward	118	48	6
Vince Grella	Midfielder	17	0	0
Morten Gamst Pedersen	Winger	199	33	46
Zurab Khizanishvili	Defender	90	2	1
Aaron Mokoena	Midfielder	137	2	7
Steven Reid	Midfielder	124	7	10
Keith Andrews	Midfielder	33	4	0
Paul Gallagher	Winger	74	8	7
El Hadji Diouf	Winger	12	1	2
Carlos Villanueva	Versatile	20	2	4
Gaël Givet	Defender	16	0	0
Danny Simpson	Full Back	20	0	0
Keith Treacy	Winger	22	0	1
Alan Judge	Winger	2	0	0
Julio Santa Cruz	Forward	0	0	0
Matt Derbyshire	Forward	85	19	10
Tony Kane	Full Back	0	0	0
Martin Olsson	Full-back	18	1	0
Jason Roberts	Forward	84	17	13
Bryan Hodge	Midfielder	0	0	0
Jason Brown	Goalkeeper	8	0	0
Frank Fielding	Goalkeeper	0	0	0
Gunnar Nielsen	Goalkeeper	0	0	0
Marcus Marshall	Forward	1	0	0
Alex Marrow	Midfielder	0	0	0
Mark Bunn	Goalkeeper	1	0	0
Aaron Doran	Winger	2	0	0
Bjorn Bussmann	Goalkeeper	0	0	0
Andy Haworth	Winger	2	0	0
Gavin Gunning	Defender	0	0	0
Jamie Clarke	Forward	0	0	0
