Player	No.	Nationality	Position	Years for Jazz	School/Club Team
Stu Lantz	22	United States	Guard	1974-75	Nebraska
Rusty LaRue	5	United States	Guard	2001-02	Wake Forest
Eric Leckner	45	United States	Forward-Center	1988-90	Wyoming
Ron Lee	18	United States	Guard	1979-80	Oregon
Russell Lee	11	United States	Guard-Forward	1974-75	Marshall
Tim Legler	18	United States	Guard	1992	La Salle
Jim Les	25	United States	Guard	1988-89	Bradley
Quincy Lewis	20	United States	Forward	1999-2002	Minnesota
Randy Livingston	2	United States	Guard	2004-05	LSU
Raúl López	24	Spain	Guard	2003-2005	Real Madrid ( Spain )
