Player	Country	Year(s) won	Total	To par
Fred Couples	United States	1992	146	+2
José María Olazábal	Spain	1994 , 1999	146	+2
Ian Woosnam	Wales	1991	149	+5
Zach Johnson	United States	2007	150	+6
Bernhard Langer	Germany	1985 , 1993	150	+6
Mark O'Meara	United States	1998	151	+7
Craig Stadler	United States	1982	151	+7
Fuzzy Zoeller	United States	1979	155	+11
Ben Crenshaw	United States	1984 , 1995	156	+12
Tom Watson	United States	1977 , 1981	157	+13
Raymond Floyd	United States	1976	158	+14
Gary Player	South Africa	1961 , 1974 , 1978	161	+17
