Position	Name	Party	First elected	District
Chairman	Sharon Bulova	Democratic Party	2009	At-Large
Supervisor	John Cook	Republican Party	2009	Braddock
Supervisor	John Foust	Democratic Party	2007	Dranesville
Supervisor	Cathy Hudgins	Democratic Party	1999	Hunter Mill
Supervisor	Jeff McKay	Democratic Party	2007	Lee
Supervisor	Penelope Gross	Democratic Party	1995	Mason
Supervisor	Gerald Hyland	Democratic Party	1988	Mount Vernon
Supervisor	Linda Smyth	Democratic Party	2003	Providence
Supervisor	Pat Herrity	Republican Party	2007	Springfield
Supervisor	Michael Frey	Republican Party	1991	Sully
