Year	Date	Name	Race	Method	Offense
1639	Cannot handle non-empty timestamp argument! 30	Nepauduck	Native American	Hanging	Murder
1647	Cannot handle non-empty timestamp argument! 26	Young, Alse	White	Hanging	Witchcraft
1753	Cannot handle non-empty timestamp argument! 21	Bramble, Sarah	White	Hanging	Murder
1786	Cannot handle non-empty timestamp argument! 20	Ocuish, Hannah	Native American	Hanging	Murder
1817	Cannot handle non-empty timestamp argument! 30	Adams, Amos	Black	Hanging	Rape
1905	Cannot handle non-empty timestamp argument! 18	Marx, Gershon	White	Hanging	Murder
1936	Cannot handle non-empty timestamp argument! 7	Simborski, John	White	Hanging	Murder
1937	Cannot handle non-empty timestamp argument! 10	McElroy, James	White	Electric chair	Murder
1960	Cannot handle non-empty timestamp argument! 17	Taborsky, Joseph	White	Electric chair	Murder
2005	Cannot handle non-empty timestamp argument! 13	Ross, Michael	White	Lethal Injection	Murder
