# 100	Season	Playing For	Against	Score
1	1980	Gloucestershire	Hampshire	116
2	1980	Gloucestershire	Warwickshire	101
3	1985/86	Orange Free State	Natal	101 not out (n.o.)
4	1986	Nottinghamshire	Warwickshire	116
5	1986	Nottinghamshire	Yorkshire	122
6	1986	Nottinghamshire	Gloucestershire	105
7	1986	Nottinghamshire	Sussex	116
8	1986	Nottinghamshire	Essex	120
9	1986	Nottinghamshire	Northamptonshire	112
10	1986/87	England	Australia	162
11	1986/87	England	Australia	116
12	1986/87	England	Australia	112
13	1987/88	England	Pakistan	116
14	1987/88	England	Australia	139
15	1987/88	England	New Zealand	114
16	1989	Nottinghamshire	Glamorgan	132
17	1989	Nottinghamshire	Glamorgan	113
18	1989	Nottinghamshire	Middlesex	144
19	1990	Nottinghamshire	Derbyshire	180
20	1990	Nottinghamshire	Warwickshire	119
21	1990	Nottinghamshire	Kent	227 n.o.
22	1990	Nottinghamshire	Leicestershire	112 n.o.
23	1990	Nottinghamshire	Yorkshire	126
24	1990	Nottinghamshire	Lancashire	122
25	1990	Nottinghamshire	Middlesex	140
26	1990	Nottinghamshire	Worcestershire	156
27	1990	Nottinghamshire	Lancashire	122
28	1991	Nottinghamshire	Kent	166
29	1991	Nottinghamshire	Surrey	137 n.o.
30	1991	Nottinghamshire	Worcestershire	162
31	1991	Nottinghamshire	Sussex	158
32	1991	Nottinghamshire	Somerset	131
33	1992	Nottinghamshire	Warwickshire	104
34	1992	Nottinghamshire	Derbyshire	117
35	1992	Nottinghamshire	Northamptonshire	159 n.o.
36	1992	Nottinghamshire	Yorkshire	120
37	1992	Nottinghamshire	Leicestershire	122
38	1993	Gloucestershire	Hampshire	131
39	1993	Gloucestershire	Derbyshire	120
40	1994	Gloucestershire	Sussex	128
