English ( BCP )	Writing system 1 (English-based)	Writing system 2 (German-based)	Modern German (close translation)	Modern German (standard wording)
Our Father who art in heaven,	Unsah Faddah im Himmel,	Unser Vadder im Himmel,	Unser Vater im Himmel,	Vater Unser im Himmel,
Hallowed be thy name.	dei nohma loss heilich sei,	dei Naame loss heilich sei,	Deinen Namen lass heilig sein,	geheiligt werde dein Name,
Thy kingdom come.	Dei Reich loss kumma.	Dei Reich loss komme.	Dein Reich lass kommen.	Dein Reich komme.
Thy will be done,	Dei villa loss gedu sei,	Dei Wille loss gedu sei,	Deinen Willen lass getan sein,	Dein Wille geschehe,
on earth as it is in heaven.	uf di eaht vi im Himmel.	uff die Erd wie im Himmel.	auf der Erde wie im Himmel.	wie im Himmel, so auf Erden.
Give us this day our daily bread.	Unsah tayklich broht gebb uns heit,	Unser deeglich Brot gebb uns heit,	Unser täglich Brot gib uns heute,	Unser tägliches Brot gib uns heute,
And forgive us our trespasses;	Un fagebb unsah shulda,	Un vergebb unser Schulde,	Und vergib unsere Schulden,	Und vergib uns unsere Schuld,
as we forgive those who trespass against us.	vi miah dee fagevva vo uns shuldich sinn.	wie mir die vergewwe wu uns schuldich sinn.	wie wir denen vergeben, die uns schuldig sind.	wie auch wir vergeben unseren Schuldigern.
And lead us not into temptation	Un fiah uns naett in di fasuchung,	Un fiehr uns net in die Versuchung,	Und führe uns nicht in die Versuchung,	Und führe uns nicht in Versuchung,
but deliver us from evil.	avvah hald uns fu'm eevila.	awwer hald uns vum ewile.	aber halte uns vom Üblen [fern].	sondern erlöse uns von dem Bösen.
For thine is the kingdom, the power	Fa dei is es Reich, di graft,	Fer dei is es Reich, die Graft,	Denn Dein ist das Reich, die Kraft	Denn Dein ist das Reich, und die Kraft
and the glory, For ever and ever.	un di hallichkeit in ayvichkeit.	un die Hallichkeit in Ewichkeit.	und die Herrlichkeit in Ewigkeit.	und die Herrlichkeit in Ewigkeit.
