Date	Visitor	Score	Home	Record
February 1	Detroit	3 - 4	Montreal	28-16-7
February 3	Detroit	4 - 4	Pittsburgh	28-16-8
February 5	Washington	1 - 4	Detroit	29-16-8
February 7	Toronto	4 - 3	Detroit	29-17-8
February 9	Detroit	5 - 5	NY Rangers	29-17-9
February 11	Detroit	3 - 4	Toronto	29-18-9
February 12	Detroit	9 - 4	Buffalo	30-18-9
February 15	San Jose	1 - 11	Detroit	31-18-9
February 17	St. Louis	3 - 5	Detroit	32-18-9
February 20	Toronto	2 - 3	Detroit	33-18-9
February 22	Chicago	1 - 2	Detroit	34-18-9
February 23	Detroit	4 - 0	Hartford	35-18-9
February 27	Detroit	2 - 4	Chicago	35-19-9
February 29	Detroit	3 - 2	St. Louis	36-19-9
