Television service	Country	Language	Content	HDTV	Package/Option
ContoTV 1	Italy	Italian	general television	no	qualsiasi
ContoTV 2	Italy	Italian	general television	no	qualsiasi
ContoTV 3	Italy	Italian	general television	no	qualsiasi
ContoTV 4	Italy	Italian	programmi per adulti 24h/24	no	qualsiasi
ContoTV 5	Italy	Italian	programmi per adulti 24h/24	no	qualsiasi
Teleitalia	Italy	Italian	general television	no	qualsiasi ( FTA )
Teleitalia Spot	Italy	Italian	general television	no	qualsiasi ( FTA )
D-XTV	Italy	Italian	programmi per adulti 24h/24	no	qualsiasi
R-LIGHT	Italy	Italian	programmi per adulti 24h/24	no	qualsiasi
SCT	Italy	Italian	programmi per adulti 24h/24	no	qualsiasi
BOY&BOY	Italy	Italian	programmi per adulti 24h/24	no	qualsiasi
PRIVÈ	Italy	Italian	programmi per adulti 24h/24	no	qualsiasi
THEMEX	Italy	Italian	programmi per adulti 24h/24	no	qualsiasi
Satisfaction HD	Italy	Italian	programmi per adulti 24h/24	yes	qualsiasi
