Score	Batsmen	Against	Location	Year
374	Matthew Elliott and Steve James	Sussex	Colwyn Bay	2000
252	Matthew Maynard and David Hemp	Northamptonshire	Sophia Gardens	2002
313	Emrys Davies and Willie Jones	Essex	Brentwood	1948
425 *	Adrian Dale and Viv Richards	Middlesex	Sophia Gardens	1993
264	Maurice Robinson and Stan Montgomery	Hampshire	Bournemouth	1949
240	Jim Allenby and Mark Wallace	Surrey	The Brit Oval	2009
211	Tony Cottey and Ottis Gibson	Leicestershire	Swansea	1996
202	Dai Davies and Joe Hills	Sussex	Eastbourne	1928
203 *	Joe Hills and Johnnie Clay	Worcestershire	Swansea	1929
143	Terry Davies and Simon Daniels	Gloucestershire	Swansea	1982
Source:	Source:	Source:	Source:	Source:
