Date	H/A/N	Opponent	Score	Record
December 4	H	Boston Celtics	107-118	1-27
December 6	H	Buffalo Braves	108-106	2-27
December 9	H	Portland Trail Blazers	102-109	2-28
December 11	A	Milwaukee Bucks	92-134	2-29
December 12	A	Cincinnati Royals	95-114	2-30
December 13	H	San Diego Rockets	95-118	2-31
December 15	A	New York Knicks	92-110	2-32
December 16	H	New York Knicks	84-108	2-33
December 18	A	Buffalo Braves	94-113	2-34
December 19	H	Buffalo Braves	123-112	3-34
December 20	H	Chicago Bulls	103-116	3-35
December 22	A	Chicago Bulls	80-121	3-36
December 25	A	Cincinnati Royals	100-117	3-37
December 26	H	Buffalo Braves	120-107	4-37
December 27	H	Philadelphia 76ers	114-101	5-37
December 29	H	Milwaukee Bucks	97-119	5-38
December 31	A	Atlanta Hawks	85-119	5-39
