Main contestant	Co-contestant (Yaar vs. Pyaar)	Date performed	Scores by each individual judge	Total score/week	Position	Status
Kashmira Shah	Mukul Dev	July 30	8 + 9 + 10 = 27	56/60	Top 2	Current
Kashmira Shah	Krushna Abhishek	July 31	9 + 10 + 10 = 29	56/60	Top 2	Current
Vishal Singh	Dimple Jhangiani	July 30	1 + 7 + 5 = 13	35/60	Bottom 2	Eliminated
Vishal Singh	Pranita Sahu	July 31	7 + 7 + 8 = 22	35/60	Bottom 2	Eliminated
Karanvir Bohra	Tina Parekh	July 30	5 + 7 + 8 = 20	46/60	Safe	Current
Karanvir Bohra	Teejay Sidhu	July 31	7 + 10 + 9 = 26	46/60	Safe	Current
Jatin Shah	Shalini Chandran	July 30	7 + 7 + 5 = 19	41/60	Bottom 2	Current
Jatin Shah	Priya Bhatija	July 31	6 + 8 + 8 = 22	41/60	Bottom 2	Current
Mridul Singhvi	Wasna Ahmed	July 30	8 + 10 + 9 = 27	48/60	Top 2	Current
Mridul Singhvi	Tina Sachdev	July 31	7 + 7 + 7 = 21	48/60	Top 2	Current
