Pick #	Player	Position	Nationality	NHL team	College/junior/club team
22	Todd Charlesworth	Defence	Canada	Pittsburgh Penguins	Oshawa Generals (OHL)
23	Ville Siren	Defence	Finland	Hartford Whalers	Tampere Ilves (Finland)
24	Shawn Evans	Defence	Canada	New Jersey Devils	Peterborough Petes (OHL)
25	Lane Lambert	Right Wing	Canada	Detroit Red Wings	Saskatoon Blades (WHL)
26	Claude Lemieux	Right Wing	Canada	Montreal Canadiens	Trois-Rivières Draveurs (QMJHL)
27	Sergio Momesso	Left Wing	Canada	Montreal Canadiens	Shawinigan Cataractes (QMJHL)
28	Jeff Jackson	Left Wing	Canada	Toronto Maple Leafs	Brantford Alexanders (OHL)
29	Brad Berry	Defence	Canada	Winnipeg Jets	St. Albert Saints (AJHL)
30	David Bruce	Right Wing	Canada	Vancouver Canucks	Kitchener Rangers (OHL)
31	John Tucker	Centre	Canada	Buffalo Sabres	Kitchener (OHL)
32	Yves Heroux	Right Wing	Canada	Quebec Nordiques	Chicoutimi Saguenéens (QMJHL)
33	Randy Heath	Left Wing	Canada	New York Rangers	Portland Winter Hawks (WHL)
34	Richard Hajdu	Left Wing	Canada	Buffalo Sabres	Kamloops Blazers (WHL)
35	Todd Francis	Right Wing	Canada	Montreal Canadiens	Brantford Alexanders (OHL)
36	Malcolm Parks	Centre	Canada	Minnesota North Stars	St. Albert Saints (AJHL)
37	Garnet McKechney	Right Wing	Canada	New York Islanders	Kitchener Rangers (OHL)
38	Frank Musil	Defence	Czechoslovakia	Minnesota North Stars	Pardubice (Czechoslovakia)
39	Wayne Presley	Right Wing	United States	Chicago Black Hawks	Kitchener Rangers (OHL)
40	Mike Golden	Centre	United States	Edmonton Oilers	Reading High School (USHS-MA)
41	Peter Zezel	Centre	Canada	Philadelphia Flyers	Toronto Marlboros (OHL)
42	Greg Johnston	Right Wing	Canada	Boston Bruins	Toronto Marlboros (OHL)
