Version	Length	Album	Remixed by	Year
Album / Single version	5:20	Avant que l'ombre...	—	2005
Radio edit	3:55	—	Laurent Boutonnat	2005
Instrumental	5:20	—	Laurent Boutonnat	2005
Sanctuary's radio edit	4:10	—	Chris Cox	2005
Sanctuary's edit club mix	8:27	—	Chris Cox	2005
Sanctuary's club remix	10:55	—	Chris Cox	2005
CQFD R.club	5:00	—	Syd	2005
Rodin's extended club mix	4:58	—	Liquid Twins	2005
Music video	4:00	Music Videos IV	—	2005
Live version (recorded in 2006)	6:58 (CD, DVD) 5:48 (vinyl)	Avant que l'ombre... à Bercy	—	2006
