Date	Title	Peak Position	Weeks	Sales
8 April 1998	Poker Face	20	6 weeks	43,150
10 June 1998	You	19	10 weeks	78,260
5 August 1998	Trust	9	10 weeks	181,820
7 October 1998	For My Dear...	9	7 weeks	74,440
9 December 1998	Depend on You	6	9 weeks	131,460
28 February 2001	Poker Face (12cm re-release)	31	2 weeks	24,000
28 February 2001	You (12cm re-release)	25	6 weeks	36,000
28 February 2001	Trust (12cm re-release)	29	2 weeks	24,000
28 February 2001	For My Dear... (12cm re-release)	33	2 weeks	23,000
28 February 2001	Depend on You (12cm re-release)	27	3 weeks	28,000
