Date	Season	Playing for	Opponent	Final score
2008-07-31	2008–09 A	Motagua	Hispano	2 – 1 W
2009-02-26	2008–09 C	Motagua	Platense	3 – 4 L
2009-03-01	2008–09 C	Motagua	Victoria	1 – 1 D
2009-07-19	2009–10 A	Motagua	Real Juventud	2 – 0 W
2009-09-13	2009–10 A	Motagua	Real Juventud	3 – 0 W
2009-09-20	2009–10 A	Motagua	Deportes Savio	2 – 0 W
2010-02-03	2009–10 C	Motagua	Real Juventud	3 – 1 W
2010-03-11	2009–10 C	Motagua	Deportes Savio	1 – 1 D
2010-09-11	2010–11 A	Motagua	Vida	2 – 2 D
2010-11-07	2010–11 A	Motagua	Real España	1 – 1 D
