Player	Minutes	Field Goals	Rebounds	Assists	Steals	Blocks	Points
Tina Thompson	943	180	157	48	22	23	520
Sheryl Swoopes	1070	181	153	91	47	16	459
Michelle Snow	893	104	239	31	28	35	276
Sheila Lambert	788	75	68	88	26	4	197
Dominique Canty	770	63	84	64	32	1	177
Kedra Holland-Corn	703	59	66	53	40	3	177
Tiffani Johnson	660	59	122	27	9	17	142
Felicia Ragland	517	44	67	38	25	3	118
Octavia Blue	155	42	21	5	1	0	44
Lucienne Berthieu	134	12	27	4	6	2	37
Pollyanna Johns Kimbrough	157	3	29	1	4	3	22
LaTonya Johnson	36	2	1	1	2	0	6
