Year	Song Title	Movie	Music Director	Co-Singers
1997	"Sasivadane"	Iddaru	A. R. Rahman	Unni Krishnan
2001	"Manohara"	Cheli	Harris Jayaraj	Solo
2002	"Tiya Tiyani Kalalanu"	Sreeram	R. P. Patnaik	Solo
2005	"Hrudayam Ekkadunnadi"	Ghajini	Harris Jayaraj	Harish Raghavendra
2005	"Aamani Koyilanai"	Premikulu	Sajan Madhav	Solo
2006	"Vere Maina Anani"	Amma Cheppindi	M. M. Keeravani	Solo
2006	"Yentho Dooram"	Amma Cheppindi	M. M. Keeravani	Solo
2006	"Ulike O Chilake"	Jalakanta	Harris Jayaraj	Karthik
2007	"Banam"	Raghavan	Harris Jayaraj	Harish Raghavendra
2008	"Anti Pettukundhuna"	16 Days	Dharan	Haricharan
2008	"Enduko Madi"	Nenu Meeku Telusa	Achu	Hemachandra
2008	"Muddula Muddula"	Salute	Harris Jayaraj	Balram , Sunitha Sarathy
2009	"Eenaadu Ee Samaram"	Eeenadu	Shruthi Hassan	Kamal Haasan
2011	"Ee Manchullo"	Rangam	Harris Jayaraj	Sriram Parthasarathy
2012	"Vennelave[Telugu]"	Thuppakki	Harris Jayaraj	Hariharan
2013	"Kamalaasana"	Intinta annamaya	M. M. Keeravani	Solo
