Episode	First broadcast	Andrew and Georgies guest	Jamie and Johns guest	Scores
02x01	7 October 2010	Jimmy Carr	Lily Allen	11–9
02x02	14 October 2010	Chris Evans	Tim Henman	9–9
02x03	21 October 2010	Rob Brydon	Jessica Ennis	4–3
02x04	21 October 2010	Jack Whitehall	Michael Owen	9–9
02x05	28 October 2010	Clare Balding	Tinchy Stryder	9–5
02x06	28 October 2010	Dermot O'Leary	Phillips Idowu	10–11
02x07	4 November 2010	Amanda Holden	Kevin Pietersen	1–4
02x08	4 November 2010	Patrick Kielty	Joe Calzaghe	4–10
02x09	11 November 2010	Eamonn Holmes	David James	9–8
02x10	11 November 2010	Jimmy Carr	Theo Paphitis	10–9
02x11	12 November 2010	Compilation episode – "The Best of Series 2"	Compilation episode – "The Best of Series 2"	N/A
