Week	Date	Opponent	Result	Venue	Attendance
1	September 11, 2005	at Carolina Panthers	W 23-20	Bank of America Stadium	72,920
2	September 19, 2005	New York Giants	L 27-10	Giants Stadium (Home Game)	68,031
3	September 25, 2005	at Minnesota Vikings	L 33-16	Hubert H. Humphrey Metrodome	63,952
4	October 2, 2005	Buffalo Bills	W 19-7	Alamodome (Home Game)	58,688
5	October 9, 2005	at Green Bay Packers	L 52-3	Lambeau Field	70,580
6	October 16, 2005	Atlanta Falcons	L 34-31	Alamodome (Home Game)	65,562
7	October 23, 2005	at St. Louis Rams	L 28-17	Edward Jones Dome	64,586
8	October 30, 2005	Miami Dolphins	L 21-6	Tiger Stadium (Home Game)	61,643
9	November 6, 2005	Chicago Bears	L 20-17	Tiger Stadium (Home Game)	32,637
10	Bye	Bye	Bye	Bye	Bye
11	November 20, 2005	at New England Patriots	L 24-17	Gillette Stadium	68,756
12	November 27, 2005	at New York Jets	W 21-19	The Meadowlands	77,152
13	December 4, 2005	Tampa Bay Buccaneers	L 10-3	Tiger Stadium (Home Game)	34,411
14	December 12, 2005	at Atlanta Falcons	L 36-17	Georgia Dome	70,083
15	December 18, 2005	Carolina Panthers	L 27-10	Tiger Stadium (Home Game)	32,551
16	December 24, 2005	Detroit Lions	L 13-12	Alamodome (Home Game)	63,747
17	January 1, 2006	at Tampa Bay Buccaneers	L 27-13	Raymond James Stadium	65,379
