Name	Position	League Apps	League Goals	FA Cup Apps	FA Cup Goals	League Cup Apps	League Cup Goals	FLT Apps	FLT Goals	Total Apps	Total Goals
Ian Banks	MF	37	8	2	0	2	1	0	0	41	9
Ian Bray	DF	13	0	0	0	3	0	1	0	17	0
Malcolm Brown	DF	33	1	2	1	3	0	0	0	38	2
David Burke	DF	21	0	2	0	0	0	0	0	23	0
Graham Cooper	FW	7 (5)	2	0 (1)	0	1 (2)	0	1	0	9 (8)	2
David Cork	FW	31 (5)	9	2	1	3 (1)	2	0	0	36 (6)	12
David Cowling	MF	34	0	2	0	4	1	1	0	41	1
Brian Cox	GK	37	0	2	0	4	0	1	0	44	0
Andy Dibble	GK	5	0	0	0	0	0	0	0	5	0
Steve Doyle	MF	5	0	0	0	2	0	0	0	7	0
Joey Jones	DF	29 (1)	2	0	0	4	0	0	0	33 (1)	2
Brian McDermott	MF	4	1	0	0	0	0	0	0	4	1
Willie McStay	DF	0 (1)	0	0	0	0	0	0	0	0 (1)	0
Graham Mitchell	DF	16 (1)	0	2	0	1	0	1	0	20 (1)	0
Paul Raynor	MF	18 (2)	4	0 (1)	0	3	0	1	0	22 (3)	4
Duncan Shearer	FW	42	21	2	1	4	2	1	1	49	25
Andy Thackeray	MF	2	0	0	0	0	0	0 (1)	0	2 (1)	0
Simon Trevitt	DF	9 (2)	0	0	0	1	0	1	0	11 (2)	0
Peter Ward	FW	4 (3)	0	0	0	0	0	0	0	4 (3)	0
Simon Webster	DF	39	1	2	0	3	0	1	0	45	1
Paul Wilson	DF	8	0	0	0	1	0	0	0	9	0
Phil Wilson	MF	37 (1)	1	2	0	4	0	1	0	44 (1)	1
Julian Winter	MF	31	1	2	0	1 (1)	0	1	0	35 (1)	1
