Episode	1 season	2 season	3 season	4 season	5 season	6 season
1	2 585 169 (5 September 2007)	3 077 507 (5 March 2008)	2 362 818 (3 September 2008)	3 145 066 (3 March 2009)	3 299 051 (3 March 2010)	3 074 536 (2 March 2011)
2	3 005 117 (12 September 2007)	3 527 331 (12 March 2008)	2 464 142 (10 September 2008)	3 451 307 (10 March 2009)	4 132 714 (10 March 2010)	3 376 435 (9 March 2011)
3	3 157 210 (19 September 2007)	3 685 660 (19 March 2008)	3 132 212 (17 September 2008)	3 273 440 (17 March 2009)	3 729 185 (17 March 2010)	3 240 345 (16 March 2011)
4	2 839 520 (26 September 2007)	2 965 419 (26 March 2008)	2 995 715 (24 September 2008)	2 916 761 (25 March 2009)	3 425 014 (24 March 2010)	3 296 694 (23 March 2011)
5	2 354 477 (3 October 2007)	3 168 673 (2 April 2008)	3 139 541 (1 October 2008)	2 378 640 (1 April 2009)	3 320 209 (31 March 2010)	3 162 112 (30 March 2011)
6	2 436 386 (10 October 2007)	3 267 513 (9 April 2008)	3 790 015 (8 October 2008)	2 523 118 (8 April 2009)	3 212 078 (7 April 2010)	3 116 088 (6 April 2011)
7	2 752 179 (17 October 2007)	3 135 031 (16 April 2008)	3 393 677 (15 October 2008)	2 318 115 (22 April 2009)	2 720 927 (21 April 2010)	3 047 739 (13 April 2011)
8	2 717 525 (24 October 2007)	2 949 739 (23 April 2008)	2 983 528 (22 October 2008)	2 404 531 (29 April 2009)	2 378 343 (28 April 2010)	2 352 393 (20 April 2011)
9	2 710 372 (31 October 2007)	2 616 401 (30 April 2008)	2 609 340 (29 October 2008)	2 195 119 (6 May 2009)	2 727 223 (5 May 2010)	2 294 207 (27 April 2011)
10	3 149 694 (7 November 2007)	2 692 353 (7 May 2008)	2 691 547 (5 November 2008)	2 101 043 (13 May 2009)	2 540 376 (12 May 2010)	2 512 383 (4 May 2011)
11	3 192 178 (14 November 2007)	2 741 304 (14 May 2008)	3 625 397 (12 November 2008)	2 195 767 (20 May 2009)	2 744 185 (19 May 2010)	2 497 440 (11 May 2011)
12	2 876 019 (21 November 2007)	2 525 034 (21 May 2008)	2 970 667 (19 November 2008)	2 151 985 (27 May 2009)	3 013 932 (26 May 2010)	2 497 440 (18 May 2011)
13	4 386 793 (2 December 2007)	3 020 502 (28 May 2008)	3 523 767 (26 November 2008)	2 628 383 (3 June 2009)	2 827 035 (2 June 2010)	2 344 082 (25 May 2011)
14	–	3 196 605 (5 June 2008)	2 970 536 (3 December 2008)	–	–	2 414 215 (1 June 2011)
Average	2 959 699	2 999 123	2 765 374	2 510 193	2 997 082	2 687 398
