No.	Player	Date of Birth	Batting Style	Bowling Style	First Class Team
88.	Stephen Fleming (captain)	1 April 1973	Left hand bat	Right arm medium	Cantebury Wellington
98.	Geoff Allott	24 December 1971	Right hand bat	Left arm fast-medium	Cantebury
93.	Nathan Astle	15 September 1971	Right hand bat	Right arm medium	Cantebury
106.	Mark Bailey	26 November 1970	Right hand bat	Right arm medium	Northern Districts
107.	Matthew Bell	25 February 1977	Right hand bat	Right arm off break	Wellington Northern Districts
78.	Simon Doull	6 August 1969	Right hand bat	Right arm medium	Northern Districts
72.	Chris Harris	20 November 1969	Left hand bat	Right arm medium	Cantebury
99.	Matt Horne	5 December 1970	Right hand bat	Right arm medium	Otago
102.	Craig McMillan	13 September 1976	Right hand bat	Right arm medium	Cantebury
103.	Shayne O'Connor	15 November 1973	Left hand bat	Left arm fast-medium	Otago
80.	Adam Parore (wicket-keeper)	23 January 1971	Right hand bat	Wicket-keeper	Auckland
108.	Alex Tait	13 June 1972	Right hand bat	Right arm medium	Northern Districts
100.	Daniel Vettori	27 January 1979	Left hand bat	Left arm orthodox spin	Northern Districts
105.	Paul Wiseman	4 May 1970	Right hand bat	Right arm off break	Otago Cantebury
