Rider	Manufacturer	Laps	Time/Retired	Grid
Loris Capirossi	Ducati	22	43:40.145	2
Valentino Rossi	Yamaha	22	+4.902	1
Dani Pedrosa	Honda	22	+8.012	9
Kenny Roberts, Jr.	KR212V	22	+14.800	3
Marco Melandri	Honda	22	+15.025	11
Casey Stoner	Honda	22	+15.699	12
John Hopkins	Suzuki	22	+16.775	7
Shinya Nakano	Kawasaki	22	+16.942	5
Nicky Hayden	Honda	22	+17.061	4
Colin Edwards	Yamaha	22	+19.435	8
Toni Elías	Honda	22	+22.215	6
Chris Vermeulen	Suzuki	22	+23.978	13
Makoto Tamada	Honda	22	+24.967	15
Randy de Puniet	Kawasaki	22	+28.961	10
Carlos Checa	Yamaha	22	+29.296	17
Alex Hofmann	Ducati	22	+29.801	14
James Ellison	Yamaha	22	+1:02.982	16
Iván Silva	Ducati	22	+1:44.775	19
José Luis Cardoso	Ducati	4	Retirement	18
OFFICIAL MOTOGP REPORT	OFFICIAL MOTOGP REPORT	OFFICIAL MOTOGP REPORT	OFFICIAL MOTOGP REPORT	OFFICIAL MOTOGP REPORT
