Rider	Manufacturer	Laps	Time/Retired	Grid
Mattia Pasini	Aprilia	21	46:29.900	1
Gábor Talmácsi	Aprilia	21	+2.985	3
Héctor Faubel	Aprilia	21	+22.405	4
Mike Di Meglio	Honda	21	+33.751	12
Joan Olivé	Aprilia	21	+37.351	7
Simone Corsi	Aprilia	21	+39.062	6
Pablo Nieto	Aprilia	21	+44.488	20
Sergio Gadea	Aprilia	21	+48.901	11
Michael Ranseder	Derbi	21	+50.672	21
Andrea Iannone	Aprilia	21	+56.674	19
Dominique Aegerter	Aprilia	21	+1:03.334	26
Lukáš Pešek	Derbi	21	+1:10.334	8
Danny Webb	Honda	21	+1:14.579	29
Tomoyoshi Koyama	KTM	21	+1:19.549	2
Stefan Bradl	Aprilia	21	+1:23.255	13
Roberto Tamburini	Aprilia	21	+1:28.289	24
Nicolás Terol	Derbi	21	+1:30.061	14
Kazuma Watanabe	Honda	21	+1:30.554	32
Randy Krummenacher	KTM	21	+1:35.406	17
Nayuta Mizuno	Yamaha	21	+1:42,793	36
Alexis Masbou	Honda	21	+2:05.969	22
Shoya Tomizawa	Honda	17	+4 Laps	30
Simone Grotzkyj	Aprilia	20	Retirement	27
Pol Espargaró	Aprilia	17	Retirement	16
Iori Namihira	Honda	14	Accident	31
Lorenzo Zanetti	Aprilia	12	Accident	18
Bradley Smith	Honda	9	Retirement	5
Esteve Rabat	Honda	9	Accident	15
Stefano Bianco	Aprilia	8	Accident	23
Robert Muresan	Derbi	8	Accident	28
Stevie Bonsey	KTM	7	Accident	25
Sandro Cortese	Aprilia	7	Retirement	10
Federico Sandi	Aprilia	6	Retirement	34
Raffaele de Rosa	Aprilia	5	Accident	9
Yuuchi Yanagisawa	Honda	5	Accident	35
Dino Lombardi	Honda	3	Accident	33
