Rank	Belarusian (BGN/PCGN)	Russian (BGN/PCGN)	Status	Obtaining	Foundation	Population (2010)
Minsk Region	Minsk Region	Minsk Region	Minsk Region	Minsk Region	Minsk Region	Minsk Region
1	Minsk (Мінск, Minsk)	Minsk (Минск)	Capital	September, 27 1938	1067	1834200
2	Barysaw (Барысаў, Barysaŭ)	Borisov (Борисов)	Raion	September, 27 1938	1102	147100
3	Salihorsk (Салігорск, Salihorsk)	Soligorsk (Солигорск)	Raion	March, 7 1963	1959	102300
4	Maladzyechna (Маладзечна, Maładečna)	Molodechno (Молодечно)	Raion	September, 20 1944	1388	94200
5	Zhodzina (Жодзіна, Žodzina)	Zhodino (Жодино)	Oblast	March, 7 1963	1643	61800
6	Slutsk (Слуцк, Słuck)	Slutsk (Слуцк)	Raion	September, 27 1938	1116	61400
7	Vilyeyka (Вілейка, Vialejka)	Vileyka (Вилейка)	Raion	January, 15 1940	1460	26800
8	Dzyarzhynsk (Дзяржынск, Dziaržynsk)	Dzerzhinsk (Дзержинск)	Raion	September, 27 1938	11th century	25200
9	Mar’’ina Horka (Мар'іна Горка, Marjina Horka)	Mar’ina Gorka (Марьина Горка)	Raion	July, 22 1955	16th century	21400
10	Stowbtsy (Стоўбцы, Stoŭbcy)	Stolbtsy (Столбцы)	Raion	January, 15 1940	1511	15400
11	Smalyavichy (Смалявічы, Smalavičy)	Smolevichi (Смолевичи)	Raion	March, 7 1968	1448	15100
12	Zaslawye (Заслаўе, Zasłaŭje)	Zaslavl’ (Заславль)	Raion	August, 14 1985	985	14200
13	Nyasvizh (Нясвіж, Niasviž)	Nesvizh (Несвиж)	Raion	January, 15 1940	1223	14100
14	Fanipal’ (Фаніпаль, Fanipal)	Fanipol’ (Фаниполь)	Raion	March, 10 1999	1856	12700
15	Byerazino (Беразіно, Bierazino)	Berezino (Березино)	Raion	March, 7 1968	1501	12000
16	Lyuban’ (Любань, Lubań)	Lyuban’ (Любань)	Raion	March, 7 1968	1566	11300
17	Staryya Darohi (Старыя Дарогі, Staryja Darohi)	Staryye Dorogi (Старые Дороги)	Raion	September, 27 1938	1524	11000
18	Klyetsk (Клецк, Kleck)	Kletsk (Клецк)	Raion	January, 15 1940	1127	10800
19	Lahoysk (Лагойск, Łahojsk)	Logoysk (Логойск)	Raion	May, 28 1998	1078	10800
20	Valozhyn (Валожын, Vałožyn)	Volozhin (Воложин)	Raion	January, 15 1940	14th century	10600
21	Chervyen’ (Чэрвень, Červień)	Cherven’ (Червень)	Raion	September, 27 1938	1387	10100
22	Kapyl’ (Капыль, Kapyl)	Kopyl’ (Копыль)	Raion	April, 29 1984	1274	9900
23	Uzda (Узда, Uzda)	Uzda (Узда)	Raion	March, 10 1999	1450	9700
24	Krupki (Крупкі, Krupki)	Krupki (Крупки)	Raion	May, 7 1991	1575	8600
25	Myadzyel (Мядзел, Miadzieł)	Myadel’ (Мядель)	Raion	November, 18 1998	1324	7000
