Series #	Season #	Title	Story by	Teleplay by	Directed by	Original air date
14	1	" Ebb Tide "	David Simon & Ed Burns	David Simon	Ed Bianchi	June1,2003
15	2	" Collateral Damage "	David Simon & Ed Burns	David Simon	Ed Bianchi	June8,2003
16	3	" Hot Shots "	David Simon & Ed Burns	David Simon	Elodie Keene	June15,2003
17	4	" Hard Cases "	David Simon & Joy Lusco	Joy Lusco	Elodie Keene	June22,2003
18	5	" Undertow "	David Simon & Ed Burns	Ed Burns	Steve Shill	June29,2003
19	6	" All Prologue "	David Simon & Ed Burns	David Simon	Steve Shill	July6,2003
20	7	" Backwash "	David Simon & Rafael Alvarez	Rafael Alvarez	Thomas J. Wright	July13,2003
21	8	" Duck and Cover "	David Simon & George Pelecanos	George Pelecanos	Dan Attias	July27,2003
22	9	" Stray Rounds "	David Simon & Ed Burns	David Simon	Tim Van Patten	August3,2003
23	10	" Storm Warnings "	David Simon & Ed Burns	Ed Burns	Rob Bailey	August10,2003
24	11	" Bad Dreams "	David Simon & George Pelecanos	George Pelecanos	Ernest Dickerson	August17,2003
