Place	Player	Country	Score	To par
1	Greg Norman	Australia	63-69-71=203	–13
2	Nick Faldo	England	69-67-73=209	–7
3	Phil Mickelson	United States	65-73-72=210	–6
T4	David Frost	South Africa	79-68-74=212	–4
T4	Scott McCarron	United States	70-70-72=212	–4
T4	Duffy Waldorf	United States	72-71-69=212	–4
T7	Scott Hoch	United States	67-73-73=213	–3
T7	John Huston	United States	71-71-71=213	–3
T9	David Duval	United States	73-72-69=214	–2
T9	Ernie Els	South Africa	71-71-72=214	–2
T9	Lee Janzen	United States	68-71-75=214	–2
T9	Frank Nobilo	New Zealand	71-71-72=214	–2
T9	Corey Pavin	United States	75-66-73=214	–2
T9	Vijay Singh	Fiji	69-71-74=214	–2
T9	Ian Woosnam	Wales	72-69-73=214	–2
