Restaurant Name	Original Name	Location	Chef	Designer	Still Open?
Babelfish Bistro	N/A	Guelph, ON	David Adjey	Robin De Groot	Yes
Coco's Cafe	N/A	N/A	Brad Long	Robin De Groot	Yes
Full Circle Cafe	N/A	N/A	Brad Long	Meredith Heron	Yes
Human Bean	N/A	Cobourg, ON	Lynn Crawford	Robin De Groot	Yes
Lakes Bar and Grill	N/A	N/A	Lynn Crawford	Cherie Stinson	No
Oasis Restaurant	N/A	N/A	David Adjey	Meredith Heron	No
Pinnacle Restaurant Niagara	N/A	Niagara Falls, ON	Lynn Crawford	Robin De Groot	Yes
Silk Road Cafe	N/A	N/A	David Adjey	Cherie Stinson	Yes
Tara Inn	N/A	N/A	David Adjey	Glen Peloso	Yes
The Grapefruit Moon	N/A	The Annex, Toronto, ON	Rene Chauvin	Meredith Heron	Yes
The Liberty	N/A	N/A	Lynn Crawford	Glen Peloso	Yes
The Rosedale Diner	N/A	N/A	Brad Long	Cherie Stinson	Yes
Via Oliveto	N/A	N/A	Rene Chauvin	Glen Peloso	No
