Nat.	Name	Moving from	Type	Transfer window	Ends	Transfer fee
POR	Nuno Capucho	Porto	Transfer	Summer	2005	£0.67m
Georgia	Zurab Khizanishvili	Dundee	Transfer	Summer	2006	Free
ITA	Paolo Vanoli	Bologna	Transfer	Summer	2005	Free
NOR	Henning Berg	Blackburn Rovers	Transfer	Summer	2004	Free
BRA	Emerson	AtléticoMadrid	Transfer	Summer	2005	Free
NOR	Egil Østenstad	Blackburn Rovers	Transfer	Summer	2004	Free
TUN	Hamed Namouchi	Cannes	Transfer	n/a	2005	Free
FRA	Marc Kalenga	Auxerre	Transfer	n/a	2004	Free
SCO	Gavin Rae	Dundee	Transfer	Winter	2007	£0.25m
NED	Frank de Boer	Galatasaray	Transfer	Winter	2004	Free
MKD	Bajram Fetai	B.93	Transfer	Winter	2006	£0.2m
