Type	Fleet numbers	Quantity made	Manufacturer	Date made	Date withdrawn
0-6-2WT	1	1	Black, Hawthorn & Co	1882	1911
0-6-2T	2–3	2	Black, Hawthorn & Co	1883	1912–1913
0-6-0T	4	1	Black, Hawthorn & Co	1885	1940
2-4-0T	5–6	2	Robert Stephenson & Co.	1874	1899
4-6-2T	5–8	4	Hudswell Clarke	1899–1902	1940–1954
4-6-0T	1–4	4	Andrew Barclay Sons & Co.	1902	1940–1954
4-6-2T	9–10	2	Kerr Stuart	1904	1928–1954
4-8-0	11–12	2	Hudswell Clarke	1905	1933–1954
4-6-2T	13–14	2	Hawthorn Leslie	1910	1940–1943
4-8-4T	5–6	2	Hudswell Clarke	1912	1954
