Position	Club	Played	Points	Wins	Draws	Losses	Goals for	Goals against	Goal Difference
1	Valencia CF	34	46+12	19	8	7	53	26	+27
2	Deportivo de La Coruña	34	43+9	16	11	7	46	33	+13
3	CD Logroñés	34	41+7	16	9	9	46	33	+13
4	Celta de Vigo	34	40+6	17	6	11	56	35	+21
5	Recreativo de Huelva	34	39+5	18	3	13	53	44	+9
6	Sestao	34	38+4	13	12	9	38	23	+15
7	Elche CF	34	36+2	12	12	10	31	28	+3
8	Rayo Vallecano	34	35+1	10	15	9	28	28	0
9	Bilbao Athletic	34	35+1	12	11	11	51	54	-3
10	CD Castellón	34	34	13	8	13	38	42	-4
11	Hércules CF	34	32-2	12	8	14	38	43	-5
12	CD Málaga	34	32-2	10	12	12	43	39	+4
13	Barcelona Atlètic	34	32-2	11	10	13	42	46	-4
14	Real Oviedo	34	30-4	9	12	13	33	46	-13
15	UE Figueres	34	29-5	9	11	14	39	40	-1
16	Cartagena FC	34	27-7	7	13	14	34	51	-17
17	Castilla CF	34	24-10	7	10	17	30	51	-21
18	Jerez Deportivo	34	19-15	4	11	19	21	58	-37
