Week	Date	Opponent	Result	Attendance
1	September 6, 1992	at Chicago Bears	L 27-24	63,672
2	September 13, 1992	Minnesota Vikings	W 31-17	57,519
3	September 20, 1992	at Washington Redskins	L 13-10	55,818
4	September 27, 1992	Tampa Bay Buccaneers	L 27-23	51,374
5	October 4, 1992	New Orleans Saints	L 13-7	66,971
6	Bye	Bye	Bye	Bye
7	October 15, 1992	at Minnesota Vikings	L 31-14	52,816
8	October 25, 1992	at Tampa Bay Buccaneers	W 38-7	53,995
9	November 1, 1992	Green Bay Packers	L 27-13	60,594
10	November 8, 1992	Dallas Cowboys	L 37-3	74,816
11	November 15, 1992	at Pittsburgh Steelers	L 17-14	52,242
12	November 22, 1992	at Cincinnati Bengals	W 19-13	48,574
13	November 26, 1992	Houston Oilers	L 24-21	73,711
14	December 6, 1992	at Green Bay Packers	L 38-10	49,469
15	December 13, 1992	Cleveland Browns	W 24-14	65,970
16	December 20, 1992	Chicago Bears	W 16-3	72,777
17	December 28, 1992	at San Francisco 49ers	L 24-6	55,907
